bolagsnamn,ort,lan,elomrade,certifiering,telefon,epost,webbplats,produktfokus,notering,kalla
Kungälvs Rörläggeri AB,Kungälv,Västra Götalands län,SE3,Auktoriserad ME,+4630320808 0,info@kungalvs-ror.se,,"Rör; service; värmepumpar","260 anst; 8 kontor; Borås/Gbg/Jkpg/Malmö/Sthlm → enterprise-kandidat men ej Bravida/Assemblin",https://mitsubishielectric.se/aterforsaljare/kungalvs-rorlaggeri-ab
Kyl-Bergman AB,Västervik,Kalmar län,SE3,Auktoriserad ME,+464902155 1,info@kyl-bergman.nu,,"Värmepumpar; komfortkyla; frys","Västervik",https://mitsubishielectric.se/aterforsaljare/kyl-bergman-ab
Varma Huset i Sollentuna AB,Järfälla,Stockholms län,SE3,Auktoriserad ME,+4685835005 3,john@varmahuset.se,,"Luft/luft; luft/vatten; bergvärme","Järfälla/Trosa/Väddö; Sthlm-region",https://mitsubishielectric.se/aterforsaljare/varma-huset-i-sollentuna-ab
Upplands Kyl & Värme AB,Uppsala,Uppsala län,SE3,Auktoriserad ME,+4618444404 0,info@upplandskylovarme.se,,"Värmepumpar; luft/vatten; AC","Uppsala",https://mitsubishielectric.se/aterforsaljare/upplands-kyl-and-varme-ab
A4U I Skåne AB,Teckomatorp,Skåne län,SE4,Auktoriserad ME,+46728582939,info@a4uab.se,,"Luft/luft; luft/vatten","400+ installationer; Landskrona-regionen",https://mitsubishielectric.se/aterforsaljare/a4u-i-skane-ab
EkoEnergi AB,Lomma,Skåne län,SE4,Auktoriserad ME,+4640534630,info@ekoenergi.se,,"Luft/luft; luft/vatten; bergvärme","Lomma; Skåne",https://mitsubishielectric.se/aterforsaljare/ekoenergi-ab
Klimatpartner i Sverige AB,Örebro,Örebro län,SE3,Auktoriserad ME,+46191210121,info@klimatpartner.com,,"Värmepumpar","Örebro; grundat 2016",https://mitsubishielectric.se/aterforsaljare/klimatpartner-i-sverige-ab
Berglunds Rör i Vegby AB,Gällstad,Västra Götalands län,SE3,Auktoriserad ME,+4632172031,jakob@berglundsror.se,,"Berg; jordvärme; luft/vatten; luft/luft; VVS","Gällstad; Borås/Ulricehamn-regionen",https://mitsubishielectric.se/aterforsaljare/berglunds-ror-i-vegby-ab
Lindsells AB,Löddeköpinge,Skåne län,SE4,Auktoriserad ME (kat 1),+464671300 5,info@lindsells.se,,"Ventilation; luft/vatten; luft/luft; VVS","Löddeköpinge; Skåne; 50+ år",https://mitsubishielectric.se/aterforsaljare/lindsells-ab
Allklimat Fastigheter AB,Upplands Väsby,Stockholms län,SE3,Auktoriserad ME,08-514 962 50,info@allklimat.se,,"Bergvärme (Geodan)","Upplands Väsby; spec bergvärme",https://allklimat.se/
Svensk Kylservice AB,Göteborg,Västra Götalands län,SE3,Auktoriserad ME,031-82 48 18,info@svenskkylservice.se,,"Luft/luft; luft/vatten; bergvärme","Göteborg + 16 kommuner",https://www.svenskkylservice.se/
KylKontroll Göteborg AB,Västra Frölunda,Västra Götalands län,SE3,Auktoriserad ME,031-685720,info@kylkontroll.se,,"Värmepumpar; kyla; energieffektivisering","Göteborg; certifierad kylanläggning",https://mitsubishielectric.se/aterforsaljare/kylkontroll-goteborg-ab
Din värmepump Gotland AB,Visby,Gotlands län,SE3,Auktoriserad ME,0498-241129,info@dinvarmepump.se,,"Luft/luft; bergvärme; AC","Visby; Gotland",https://mitsubishielectric.se/aterforsaljare/din-varmepump-gotland-ab
Energitjänst VK AB,Limhamn,Skåne län,SE4,Auktoriserad ME,040-15 96 96,info@energitjanst.nu,,"Berg; luft/vatten; luft/luft; AC","Även IVT Center + Bosch; Limhamn/Trelleborg",https://www.energitjanst.nu/
