Företagsnamn,Geografi_original,Landskap_original,Revenue_SEK,Employees,Email,Phone,County,Municipality,City,ZipCode,ContactPerson,ContactRole
BN Rör Oppmanna AB,,,14034,4,,,Skåne,Kristianstad,Arkelstorp,291 57,Bo Peter Nilsson,Ordförande
Bodafors VVS AB,,,28907,10,,0380370506,Jönköping,Nässjö,Bodafors,571 61,Erik Anton Björklund,Ordförande
Bollnäs Rör AB,,,17137,5,,,Gävleborg,Bollnäs,Bollnäs,821 51,Johan Tomas Pierre Karismaa,Ledamot
Borås Elektrokyl-Energiteknik AB,,,112101,61,,033205520,Västra Götaland,Borås,Borås,504 50,Anders Sven-Olof Johansson,Verkställande direktör
Bredablick VVS Skåne AB,,,8395,6,,,Skåne,Klippan,Klippan,264 36,Ville Valtteri Rantala,Ordförande
Brion Kyl & Ventilationsservice Syd AB,,,,,,,,,,,,
Brunskog Elektriska Edane Rör AB,,,10378,7,,057050187,Värmland,Arvika,Edane,671 70,Ulf Erik Jörgen Johansson,Verkställande direktör
Bryngels AB,,,50446,25,,060668855,Västernorrland,Sundsvall,Sundsvall,852 43,Per Mattias Norberg,Extern verkställande direktör
Bröderna Perssons Rör AB,,,92090,44,,,Västra Götaland,Gullspång,Gullspång,547 31,Patrik Bo Gunnar Persson,Verkställande direktör
Bäkmarks VVS AB,,,,,,,,,,,,
Campus Telge,,,,,,,,,,,,
Canmera Comfort AB,,,80213,50,,0313378300,Västra Götaland,Göteborg,Göteborg,416 57,Bo Anders Gustavsson,Verkställande direktör
Carlshamns Rörteam AB,,,22190,13,,045410243,Blekinge,Karlshamn,Karlshamn,374 32,Tor Johan Robert Martinsson,Ordförande
Carlssons Kylservice i Norrköping AB,,,10102,3,,,Östergötland,Norrköping,Norrköping,605 97,Johan Anders Karlsson,Ordförande
Carlssons Rör i Sunne AB,,,27524,10,,056531119,Värmland,Sunne,Sunne,686 35,David Andreas Lennartsson,Ordförande
Caverion Sverige AB,,,4883743,2285,,,Stockholm,Stockholm,Hägersten,126 30,Lennart Anders Fagerkrantz,Extern verkställande direktör
Ceder VVS & Kyl AB,,,2613,1,,,Västra Götaland,Göteborg,Agnesberg,424 38,Johannes Hanna Dwalibi,Ledamot
Chiller Sverige AB,,,22663,5-9,,,Stockholm,Ekerö,Ekerö,178 31,Joonas Lius,Ordförande
Chris Alltjänst AB,,,125,1,,,Dalarna,Ludvika,Grängesberg,772 40,Christopher Schmitt,Ledamot
Cirkutek,,,,,,,,,,,,
ClimaCheck Sweden AB,,,9532,7,,0855615575,Stockholm,Nacka,Nacka,131 37,Carl Johan Håkansson,Extern verkställande direktör
Climata AB,,,7699,4,,034617098,Halland,Falkenberg,Falkenberg,311 32,Robin Bergbom,Ledamot
Coldfinger AB,,,510,1,,,Stockholm,Haninge,Dalarö,137 70,Per Torbjörn Kardebo,Verkställande direktör
Comfort-kedjan AB,,,319334,28,,019271920,Stockholm,Stockholm,Kista,164 40,Daniel Pierre Ellison,Verkställande direktör
Comfortteknik Klimat & Kylanläggningar i Mölndal AB,,,52863,18,,,Västra Götaland,Mölndal,Mölndal,431 50,Kent Magnus Nordquist,Verkställande direktör
ComfortZone AB,,,82303,48,,,Stockholm,Täby,Täby,183 62,Martin Erik Lugnberg,Verkställande direktör
Constructor Bohman AB,,,5621,3,,,Skåne,Kävlinge,Kävlinge,244 39,Bengt-Göran Bohman,Ledamot
Cool Air Energy kyl & vent AB,,,,,,,,,,,,
Cool island AB,,,3899,1,,,Stockholm,Botkyrka,Tullinge,146 50,Peter Alexander Falk,Ledamot
Coor Service Management AB,,,106246,183,,0105595100,Stockholm,Solna,Solna,171 64,Kajsa Maria Voltaire,Verkställande direktör
Coromatic AB,,,1444233,425,,,Stockholm,Stockholm,Bromma,168 67,Peter Olof Mattias Neuberg,Extern verkställande direktör
Cretec Gislaved AB,,,64455,31,,037082026,Jönköping,Gislaved,Gislaved,332 38,Björn Anders Roger Norlin,Verkställande direktör
Cronlund Industri & VVS AB,,,,,,,,,,,,
CTC AB,,,731068,206,,,Kronoberg,Ljungby,Ljungby,341 34,Nils Tomas Haglund,Verkställande direktör
CTS Climate Test Systems AB,,,44968,6,,0703379572,Västra Götaland,Alingsås,Alingsås,441 95,Kjell Håkan Eriksson,Ordförande
Culligan Storkök AB,,,163143,81,,,Uppsala,Uppsala,Uppsala,754 54,Nils Evert Mattias Källemyr,Verkställande direktör
CWT VVS & Fastighetsteknik AB,,,8504,4,,0855085799,Stockholm,Södertälje,Södertälje,152 42,Johan Conny Westerberg,Verkställande direktör
Dahl Sverige AB,,,10021885,1140,,086272600,Stockholm,Stockholm,Bromma,168 67,Karl Håkan Hedberg,Extern verkställande direktör
Dala Hushållsservice AB,,,6014,3,,025016140,Dalarna,Mora,Mora,792 94,Peter Michael Larsson,Verkställande direktör
"Dala Kyl-, Värme- och Vatten-teknik AB",,,4742,2,,,Dalarna,Falun,Grycksbo,790 20,Hans Joakim Danielsson,Ledamot
Dala Kylmecano AB,,,75659,27,,0243792280,Dalarna,Borlänge,Borlänge,781 72,Bo Anders Ställberg,Verkställande direktör
DALA-FLODA,,,1363,0,,,Dalarna,Gagnef,Dala-Floda,786 95,Eva Charlotta Ersson,Verkställande direktör
Dalarna VVS & Värmeteknik AB,,,9744,4,,,Dalarna,Ludvika,Ludvika,771 42,Mattias Björn Magnusson,Ledamot
Djupviks energiteknik AB,,,4024,1,,,Västerbotten,Umeå,Holmsund,913 35,Johan Fredrik Johnsén,Ledamot
Djärv Kyl AB,,,20157,11,,091056060,Västerbotten,Skellefteå,Skellefteå,931 91,Kjell Sören Grenholm,Ledamot
Dometic Scandinavia AB,,,237578,32,,0317341100,Västra Götaland,Tidaholm,Tidaholm,522 35,Kester Julian Petersson,Extern verkställande direktör
DOMSJÖ,,,2871000,360,,066075600,Västernorrland,Örnsköldsvik,Domsjö,892 50,Björn Olof Vedin,Verkställande direktör
"Donaldson Scandinavia Aps, Danmark, Filial Sverige",,,,5-9,,084718660,Västra Götaland,Lidköping,Lidköping,531 60,Bart Cyriel M. Driesen,Verkställande direktör
Dorotea kommun,,,,200-499,,094214000,Västerbotten,Dorotea,Dorotea,917 32,,
DREM Energy AB,,,15518,11,,,Stockholm,Sigtuna,,,Babak Tighnavard Nyhus,Ordförande
E. Thenanders Rör AB,,,27384,17,,,Dalarna,Borlänge,Borlänge,784 60,Hans Gunnar Lindvall,Verkställande direktör
e.klimat Sverige AB,,,16536,9,,0736409012,Östergötland,Linköping,Linköping,582 73,Lars Johan Olsson,Verkställande direktör
EB Kylservice AB,Göteborg,Västra Götaland,9212,4,,052421690,Västra Götaland,Göteborg,Göteborg,417 07,José Ove Mikael De Almeida Duarte,Ordförande
EB Kylservice i Väst AB,,,9212,4,,052421690,Västra Götaland,Göteborg,Göteborg,417 07,José Ove Mikael De Almeida Duarte,Ordförande
Eco Scandic Oy,,,,,,,,,,,,
Ecoklimat Norden AB,,,10842,7,,020305000,Västmanland,Västerås,Västerås,721 37,Mika Markku Olavi Toivainen,Verkställande direktör
Edekyl & Värme AB,,,291611,96,,,Örebro,Örebro,Örebro,702 27,Anders Fredrik Björklund,Verkställande direktör
Eklunds Mora AB,,,76417,37,info@eklundsmora.se,0250-585000,Dalarna,Mora,Mora,792 32,Anders Stefan Eklund,Verkställande direktör
Eko Energi i Lomma AB,,,34421,2,,,Skåne,Lomma,Lomma,234 35,Carl Oscar Scholtz,Verkställande direktör
Ekovärme i Åmål HB,,,,,,,,,,,,
EKVT Värmeteknik AB,,,12863,6,,0856046600,Stockholm,Stockholm,Bromma,168 31,Hassan Mughrabi,Ledamot
El & Projektering Vetlanda AB,,,105323,45,magnus@el-projektering.se,0383-17840,Jönköping,Vetlanda,Vetlanda,574 38,Magnus Lennart Gustav Teodorsson,Verkställande direktör
El & Värmepumpsteknik/Svensk Butiksupport Björn Olsson,,,,,,,Södermanland,Eskilstuna,,,,
El-Björn AB,,,173671,67,daniel.segerqvist@elbjorn.se,0371-588112,,,,,Carl Stig Conny Hansson,Extern verkställande direktör
Elaffären ELON i Lidköping AB,,,28538,8,,051026320,Västra Götaland,Lidköping,Lidköping,531 60,Anette Christina M Fransson,Ordförande
Electra Olle Jönsson AB,,,21955,11,,042124021,Skåne,Helsingborg,Helsingborg,254 67,Marcus Thomas Olverling,Ledamot
Elektrobyrån Hjo AB,,,153024,94,,050312530,Västra Götaland,Hjo,Hjo,544 50,Claes Christoffer Olbrich,Ordförande
Elektrokyl i Roslagen AB,,,2915,1,,017522777,Stockholm,Norrtälje,Hallstavik,763 43,Stig Göran Holmquist,Ledamot
ELIAS Syd AB,,,106177,69,,0454572300,Blekinge,Karlshamn,Karlshamn,374 93,Bengt Erik Ingemansson,Verkställande direktör
Eliko El och Kylservice AB,,,18113,4,,,Västra Götaland,Stenungsund,Ljungskile,459 91,Simon Karl David Hallman,Verkställande direktör
Elterm i Alingsås AB,,,26019,11,,,Västra Götaland,Alingsås,Alingsås,441 39,Peter Joakim Andrén,Verkställande direktör
Eltjänster Degeberga-Vittskövle AB,,,50793,29,,044350515,Skåne,Kristianstad,Degeberga,297 31,Lena Maria Gerdes,Ordförande
Emils Energi & Fastighetsteknik AB,,,26245,13,,,Västra Götaland,Lidköping,Lidköping,531 70,Carl Anton Kristoffersson,Verkställande direktör
Emperor Pipe AB,,,85740,36,,056314045,Värmland,Hagfors,Hagfors,683 33,Carl Martin Carmesten,Extern verkställande direktör
ENACO Sverige AB,,,210491,50-99,,0102280000,Stockholm,Stockholm,Kista,164 40,Jan Erik Mikael Berggren,Extern verkställande direktör
Enego Klimatsystem AB,,,,,,,,,,,,
Energi & Inneklimat i Norrköping AB,,,47516,22,,011183580,Östergötland,Norrköping,Norrköping,602 13,Lars-Olof Bertilsson,Verkställande direktör
Energi & Klimatgruppen,,,189,0,,,Skåne,Vellinge,Vellinge,235 39,Peter Axel Mikael Hornbeck,Verkställande direktör
Energi & Klimatteknik i Tygelsjö AB,,,17423,7,,040960961,Skåne,Malmö,Malmö,213 77,Daniel Andreas Hansson,Verkställande direktör
Energi & Miljö i Ulricehamn AB,,,22797,13,,032110220,Västra Götaland,Ulricehamn,Ulricehamn,523 31,Patrik David Carlbom,Ordförande
Energi & Värmeteknik i Östra Sverige AB,,,10759,4,,013298590,Östergötland,Mjölby,Mantorp,595 57,Joacim Ulf Andersson,Ordförande
Energi och Klimat Service i Karlskrona AB,,,85200,40,,,Blekinge,Karlskrona,Karlskrona,371 47,Nicklas Joakim Nordström,Verkställande direktör
Energi och Klimatoptimering i Stockholm AB,,,2956,1,,,Stockholm,Tyresö,Tyresö,135 43,Johan Andreas Sandefjärd,Ledamot
Energi-Montage AB,,,26542,8,,,Norrbotten,Luleå,Råneå,955 31,Carl Marcus Eneslätt,Ledamot
Energi&Kylteknik Stockholm AB,,,2869,2,,,Stockholm,Stockholm,Stockholm,118 66,Miquel Wanchai Sangasri Marquez,Ledamot
Energieffektivisering i Sverige AB,,,22044,9,,08279200,Stockholm,Lidingö,Lidingö,181 32,Lars Göran Erixon,Ordförande
Energiförbättring Väst AB,,,85211,32,,0313380010,Västra Götaland,Härryda,Mölnlycke,435 44,Per Tomas Björnsson,Ordförande
Energiinstallation i Sverige AB,,,6148,2,,0708592969,Stockholm,Huddinge,Huddinge,141 37,Fredrik Urban Hellqvist,Verkställande direktör
Energikontroll i Söderköping AB,,,,,,,,,,,,
Energipartner Sverige AB,,,61968,17,,08802805,Stockholm,Stockholm,Bromma,167 71,Carl-Magnus Rosén,Ledamot
Energipartner Österlen AB,,,7918,2,,,Skåne,Simrishamn,Simrishamn,272 36,Lars Peter Ahnelöv,Ledamot
Energiprojekt Stockholm AB,,,18392,7,mikael.gripenberg@energiprojektstockholm.se,070-1434678,Stockholm,Stockholm,Hägersten,126 30,Karl Mikael Gripenberg,Extern verkställande direktör
Energirör i Borås AB,,,28423,11,info@energiror.se,033-13 94 10,Västra Götaland,Borås,Borås,507 42,Peter Georg Sjögren,Verkställande direktör
Energisparkonsult AB,,,70707,18,,0859510570,Stockholm,Sigtuna,Arlandastad,195 60,Erik Richard Albertsson,Verkställande direktör
Energitjänst VK AB,,,39746,13,,,Skåne,Malmö,Limhamn,216 16,Bengt Magnus Axel Holmgren,Ordförande
Energivärme i Stockholm AB,,,32301,9,,086648100,Stockholm,Nacka,Saltsjö-Boo,132 35,Martin Lars Erik Alvefjord,Verkställande direktör
Engstedt Rör AB,,,41263,20,,022661600,Dalarna,Avesta,Krylbo,775 54,Erik Roger Engstedt,Ordförande
ER Kylinstallation AB,,,44017,18,,031-404550,,,,,Per Aksel Rasmussen,Verkställande direktör
Erbeco Värmeteknik AB,,,16247,8,,,Värmland,Karlstad,Karlstad,652 21,Björn Anders Tommy Damberg,Verkställande direktör
Ericssons Rör & El i Sjuhärad AB,,,,,,,,,,,,
ES Energy Save Holding AB,,,5426,10,,,Västra Götaland,Alingsås,Alingsås,441 32,Lars Fredrik Tobias Sävenstrand,Verkställande direktör
ETB Värme Sverige AB,,,38735,16,,,Västra Götaland,Mölndal,Mölndal,431 67,Karl Patrik Olsson,Verkställande direktör
EVERÖD,,,14871,8,joakim.lundkvist@everodsplat.se,070-5370014,Skåne,Kristianstad,Everöd,29772,Hans-Åke Joakim Lundqvist,Verkställande direktör
Everöds Elbyrå AB,,,75677,34,,,Skåne,Kristianstad,Everöd,297 72,Per Tomas Björnsson,Ordförande
Experten Group Service Sverige AB,,,150774,71,,020100052,Stockholm,Stockholm,Spånga,163 53,Tore Erik Hult,Verkställande direktör
FA Energipartner Jämtland AB,,,10316,2,,,Jämtland,Östersund,Brunflo,834 32,Per Anton Sandström,Ordförande
Falu Kyla AB,,,28436,8,,,Dalarna,Falun,Falun,791 44,Karl David Richard Lantz,Verkställande direktör
FEKA Partner AB,,,32949,24,,062057730,Västernorrland,Sollefteå,Sollefteå,881 93,Kent Robert Andersson,Ledamot
Ferla Energy AB,,,149521,34,,0852235600,Stockholm,Nacka,Nacka,131 54,John Uller von Wowern,Verkställande direktör
Finnvedens Lastvagnar AB,,,1761889,259,,036328150,Jönköping,Jönköping,Jönköping,553 02,Johan Ulfson Björnör,Extern verkställande direktör
FINSPÅNG,,,3908474,470,,,Östergötland,Finspång,Finspång,612 31,Anders Gustav Andersson,Extern verkställande direktör
FJÄRDHUNDRA,,,10773,4,,,Uppsala,Enköping,Fjärdhundra,749 72,Sven-Erik Norberg,Ledamot
FKV Kylteknik AB,,,2157,1-4,,,Skåne,Helsingborg,Helsingborg,254 52,Nawfal Mamdooh Oleiwi AL-Shammari,Ledamot
Fläkt Teknik Entreprenad i Karlstad AB,,,212220,79,,,Värmland,Karlstad,Karlstad,,Eric Magnus Forsberg,Verkställande direktör
FMT i Fagersta AB,,,2378,1-4,,,Västmanland,Fagersta,Fagersta,737 93,John Mikael Thille,Ledamot
FMTS Markverkstad Väst,,,,,,,,,,,,
FOMA Consulting AB,,,1520,1,,,Västmanland,Hallstahammar,Hallstahammar,734 38,Carl Mattias Forsman,Ledamot
Forsberg & Tibell Kyl AB,Jönköping,Småland,33730,11,,036132650,Jönköping,Jönköping,Jönköping,554 65,Egon Morgan Samuel Danell,Verkställande direktör
Forsberg & Tibell Kyl AB,,,33730,11,,036132650,Jönköping,Jönköping,Jönköping,554 65,Egon Morgan Samuel Danell,Verkställande direktör
Forsbergs VVS och Energiteknik AB,,,11174,1,,0761314455,Värmland,Grums,Grums,664 34,Jan Erik Daniel Forsberg,Ledamot
FORSERUM,,,16075,11,,038029290,Jönköping,Nässjö,Forserum,571 78,Ingmar Christian Svensson,Verkställande direktör
Forserums Rör AB,,,15457,7,,038021000,Jönköping,Nässjö,Forserum,571 77,Johan Leif Öggesjö,Ordförande
Frigotech AB,,,4164,3,,,Norrbotten,Kiruna,Kiruna,981 43,Ulf Kenneth Magnusson,Verkställande direktör
"Friotherm AG, Filial",,,,5-9,,031655740,Västra Götaland,Göteborg,Göteborg,417 55,Gösta Roland Ingemar Johansson,Verkställande direktör
Friska Fläktar Kyl & Värme AB,,,14356,5,,017610840,Stockholm,Norrtälje,Norrtälje,761 53,Clarence William Lundberg,Ledamot
Frostbiten AB,,,7,1,,,Halland,Halmstad,Halmstad,302 46,Albin Samuel Josefsson,Ledamot
Frys- & Kylservice i Östersund AB,,,65961,22,,063778130,Jämtland,Östersund,Östersund,831 72,Per Håkan Göransson,Extern verkställande direktör
FTX Teknik & Service AB,,,62875,40,,0114009040,Östergötland,Norrköping,Norrköping,602 09,Per Mikael Westberg,Extern verkställande direktör
Garantgruppen AB,,,69164,6,,013154510,Östergötland,Linköping,Linköping,582 73,Lars Jerker Ekermann,Extern verkställande direktör
Gebwell Sverige AB,,,49505,9,,,Stockholm,Stockholm,Älvsjö,125 30,Niklas Olof Brunemalm,Extern verkställande direktör
GK Klimatpolen AB,,,4963,2,,,Stockholm,Upplands Väsby,Upplands Väsby,194 52,Leif Göran Kindberg,Ledamot
Global Infrateknik AB,,,109584,70,,0703034990,Västmanland,Västerås,Västerås,721 37,Roland Tobias Grimerö,Verkställande direktör
Gnosjö Rörledningsaffär AB,,,60110,22,,,Jönköping,Gnosjö,Gnosjö,335 30,Erik Anders Sveningsson,Ordförande
GreenPeak Energi AB,,,27901,9,info@greenpeak.se,073 3919014,Västra Götaland,Partille,SÄVEDALEN,433 63,Hans-Göran Wernberg,Verkställande direktör
Grenholms Kylservice AB,,,42702,20,,090717020,Västerbotten,Umeå,Umeå,901 32,Nils Håkan Karlsson,Verkställande direktör
Grubb & Cronvall VVS & Energiteknik AB,,,16264,7,,026254020,Gävleborg,Sandviken,Sandviken,811 40,Sven Martin Mikael Grubb,Verkställande direktör
Grubbe Ventilation AB,,,33632,15,,090127751,Västerbotten,Umeå,Umeå,903 61,Hans Gustav Fredrik Gustafsson,Ledamot
Grums Rör AB,,,28067,16,,055512405,Värmland,Grums,Grums,664 34,Bernt Nicklas Thuresson,Verkställande direktör
Gräsmyr VVS AB,,,2631,1,,,Västerbotten,Nordmaling,Gräsmyr,914 95,Anders Erling Österlund,Verkställande direktör
GS Kylservice AB,,,1206,1,,,Skåne,Hörby,Hörby,242 35,Gentian Sejdiu,Ledamot
GULLSPÅNG,,,42776,11,,055136440,Västra Götaland,Gullspång,Skagersvik,547 93,Erik Peter Hoffman,Verkställande direktör
Gullspångs kommun,,,,500-999,,055136000,Västra Götaland,Gullspång,Hova,548 32,,
Gunnar Karlsen Sverige AB,,,,,,,,,,,,
Gustavsson’s Energi AB,,,7960,2,,,Dalarna,Avesta,Avesta,,Lars Johan Ingemar Perers,Ordförande
Gute Kyltjänst AB,,,44298,12,,,Gotland,Gotland,Visby,621 41,Erik Olof Ringqvist,Verkställande direktör
Gyljehedens Kyla och Värme AB,,,4045,1,,,Norrbotten,Överkalix,Överkalix,956 91,Nils Fredrik Boström,Ledamot
Gästrike Värmepump & Kyla AB,,,28438,9,,02637170,Gävleborg,Gävle,Gävle,802 93,Hans Gunnar Danielsson,Ordförande
