id,name,url,city,phone,email,address,abo_orgnr,abo_employees,abo_vd_name,abo_vd_role,contact_email,contact_phone,confidence,services_list,se_zone,revenue_ksek,revenue_msek,employees_int,score_services,score_revenue,score_raw,mult_zone,mult_size,score_final,tier,has_water_brand,has_nibe,has_bosch,has_solar,has_ev,has_energiopt,brands_list
uddevalla,Installationgruppen Bohuslän,https://www.bad-varme.se/ort/uddevalla/,Uddevalla,010-45 20 840,info@instgruppen.se,Kurödsvägen 3B,5565830410,43,Anders Erik Valter Karlsson,Verkställande direktör,info@instgruppen.se,010-45 20 840,low,,3,103726,103.7,43,2,3,5,1.0,0.9,4.5,B,0,0,0,0,0,0,
veberod,Idala Rörtjänst,https://www.bad-varme.se/ort/veberod/,Veberöd,046-500 98,info@idalaror.se,Skogsängavägen 26,5591776512,9,Patrik Sven Åke Andersson,Ledamot,info@idalaror.se,046-500 98,ok,"wp_franluft,wp_luft_vatten",3,22201,22.2,9,4,1,5,1.0,0.9,4.5,B,1,1,1,0,0,0,"bosch,mitsubishi,nibe"
alingsas-djupedal,Djupedals Rör Alingsås,https://www.bad-varme.se/ort/alingsas-djupedal/,Alingsås,0322-101 06,info@djupedalsror.se,Mejerigatan 6,5564657459,21,Emma Johanna Caroline Nyström,Extern verkställande direktör,info@djupedalsror.se,0322-101 06,low,,3,67071,67.1,21,2,2,4,1.0,1.0,4.0,B,0,0,0,0,0,0,
gnosjo,Gnosjö Rörledningsaffär,https://www.bad-varme.se/ort/gnosjo/,Gnosjö,0370-33 22 90,info@gnosjoror.se,Järnvägsgatan 35,5566027644,22,Erik Anders Sveningsson,Ordförande,info@gnosjoror.se,0370-33 22 90,ok,,3,60110,60.1,22,2,2,4,1.0,1.0,4.0,B,0,0,0,0,0,0,
jonkoping,ManTor,https://www.bad-varme.se/ort/jonkoping/,Jönköping,010-3300560,info@mantor.se,Kämpevägen 17,5568998867,18,Martin Vincent Schildt,Ordförande,info@mantor.se,010-3300560,ok,,3,41112,41.1,18,2,2,4,1.0,1.0,4.0,B,0,0,0,0,0,0,
norrtalje,NM Rör AB,https://www.bad-varme.se/ort/norrtalje/,Norrtälje,0176-22 47 00,info@nmror.se,Abborrvägen 12,5592257108,18,Lennart Niklas Ragnarsson,Ledamot,info@nmror.se,0176-22 47 00,ok,,3,40594,40.6,18,2,2,4,1.0,1.0,4.0,B,0,0,0,0,0,0,
vendelso,Forsmans VVS,https://www.bad-varme.se/ort/vendelso/,Skogås,08-770 85 00,order@forsmansvvs.se,Betongvägen 7,5568818511,31,Fredrik King Richard L Forsman,Verkställande direktör,order@forsmansvvs.se,08-770 85 00,ok,,3,68060,68.1,31,2,2,4,1.0,1.0,4.0,B,0,0,0,0,0,0,
tingsryd,Bad & Värme Tingsryd,https://www.bad-varme.se/ort/tingsryd/,Tingsryd,0477-130 50,tingsryd@bad-varme.se,Lokgatan 3,5565456943,16,Ulf Anders Vilhelm Sjöström,Ledamot,tingsryd@bad-varme.se,0477-130 50,low,wp_bergvarme,3,30155,30.2,16,2,2,4,1.0,1.0,4.0,B,0,0,0,0,0,0,
vasteras,Nya Rörbolaget,https://www.bad-varme.se/ort/vasteras/,Västerås,021-38 04 30,vasteras@bad-varme.se,Retortgatan 5,5560435025,20,Clas-Göran Israelsson,Ordförande,vasteras@bad-varme.se,021-38 04 30,low,,3,49867,49.9,20,2,2,4,1.0,1.0,4.0,B,0,0,0,0,0,0,
mora,Eklunds Mora,https://www.bad-varme.se/ort/mora/,Mora,0250 – 58 50 00,info@eklundsmora.se,Skolvägen 6,5565001798,37,Anders Stefan Eklund,Verkställande direktör,info@eklundsmora.se,0250 – 58 50 00,ok,wp_bergvarme,2,76417,76.4,37,3,2,5,0.78,1.0,3.9,B,1,0,0,0,0,0,thermia
sundsvall,Bryngels,https://www.bad-varme.se/ort/sundsvall/,Sundsvall,060-66 88 55,vvs.sundsvall@bryngels.se,Fredsgatan 20,5567003339,25,Per Mattias Norberg,Extern verkställande direktör,vvs.sundsvall@bryngels.se,060-66 88 55,ok,,2,50446,50.4,25,3,2,5,0.78,1.0,3.9,B,1,0,0,0,0,0,thermia
kvanum-djupedal,Djupedals Rör Kvänum,https://www.bad-varme.se/ort/kvanum-djupedal/,Kvänum,0512-921 00,info@djupedalsror.se,Storgatan 12,5562023159,132,Johan Niklas Efraimsson,Verkställande direktör,info@djupedalsror.se,0512-921 00,low,,3,279084,279.1,132,2,3,5,1.0,0.75,3.75,B,0,0,0,0,0,0,
ludvika,Radiator VVS,https://www.bad-varme.se/ort/ludvika/,Ludvika,0240-13565,ludvika@bad-varme.se,Målarvägen 5,5560271065,470,Andreas Lars Erik Bogren,Verkställande direktör,ludvika@bad-varme.se,0240-13565,low,,3,1089228,1089.2,470,2,3,5,1.0,0.75,3.75,B,0,0,0,0,0,0,
arvika,RSAB Rörservice,https://www.bad-varme.se/ort/arvika/,Arvika,0570-808 03,info@rs-ab.com,Fryksdalsvägen 26,5590284393,7,Stefan Joachim Per-Håkan Nordin,Ledamot,info@rs-ab.com,0570-808 03,ok,,3,11783,11.8,7,3,1,4,1.0,0.9,3.6,B,1,0,0,0,0,0,ivt
vetlanda,Ekenäs Rör AB,https://www.bad-varme.se/ort/vetlanda/,Ekenässjön,0383-347 80,info@ekenasror.se,Brunnsgatan 9,5562984251,7,Klas Fredrik Liljegren,Ledamot,info@ekenasror.se,0383-347 80,low,,3,14326,14.3,7,3,1,4,1.0,0.9,3.6,B,1,0,0,0,0,0,ivt
hjo,Rörfixarna i Hjo,https://www.bad-varme.se/ort/hjo/,Hjo,050312222,hjo@bad-varme.se,Filvägen 6,5566713870,15,Stefan Gunnar Joakim Alexandersson,Verkställande direktör,hjo@bad-varme.se,050312222,ok,,3,34791,34.8,15,2,2,4,1.0,0.9,3.6,B,0,0,0,0,0,0,
rottne,Söders Olja & Rör,https://www.bad-varme.se/ort/rottne/,Rottne,0470-925 50,niklas@sodersror.se,Kopparvägen 6,5561991893,14,Niklas Magnus Johansson,Ordförande,niklas@sodersror.se,0470-925 50,ok,,3,35440,35.4,14,2,2,4,1.0,0.9,3.6,B,0,0,0,0,0,0,
tibro,Rörfixarna i Hjo AB,https://www.bad-varme.se/ort/tibro/,Tibro,0504-129 88,tibro@bad-varme.se,Värsåsvägen 14,5566713870,15,Stefan Gunnar Joakim Alexandersson,Verkställande direktör,tibro@bad-varme.se,0504-129 88,ok,,3,34791,34.8,15,2,2,4,1.0,0.9,3.6,B,0,0,0,0,0,0,
karlstad-jc,Janne Carlson Rör,https://www.bad-varme.se/ort/karlstad-jc/,Vålberg/Karlstad,054-547180,herman.karlsson@nor-schakt.se,Teknikvägen 10,5561673491,9,Hans Erik Karlsson,Verkställande direktör,herman.karlsson@nor-schakt.se,054-547180,ok,wp_bergvarme,3,24873,24.9,9,3,1,4,1.0,0.9,3.6,B,1,0,0,0,0,0,thermia
arjang,Bad & Värme Årjäng,https://www.bad-varme.se/ort/arjang/,Årjäng,0573-100 03,henrik@kakelbutikenab.se,Snickargatan 19,5567645907,14,Henrik Torbjörn Hedefur,Ledamot,henrik@kakelbutikenab.se,0573-100 03,ok,,3,18802,18.8,14,3,1,4,1.0,0.9,3.6,B,1,0,0,0,0,0,thermia
malung,Installationsgruppen,https://www.bad-varme.se/ort/malung/,Malung,0280-130 75,badovarme@installationsgruppen.com,Källvägen 15,5565830410,43,Anders Erik Valter Karlsson,Verkställande direktör,badovarme@installationsgruppen.com,0280-130 75,low,,2,103726,103.7,43,2,3,5,0.78,0.9,3.51,B,0,0,0,0,0,0,
kalmar,VVS Butiken Lindsdals Rör,https://www.bad-varme.se/ort/kalmar/,Kalmar,0480-696 00,kalmar@bad-varme.se,Dagövägen 5,5567808141,6,Kennerth Joakim Karlström,Ledamot,kalmar@bad-varme.se,0480-696 00,ok,,4,12352,12.4,6,2,1,3,1.28,0.9,3.46,B,0,0,0,0,0,0,
kalmar-forlosa,Förlösa Rör,https://www.bad-varme.se/ort/kalmar-forlosa/,Kalmar,0708 – 79 19 88,forlosaror@gmail.com,Flottiljvägen 15,5568047301,6,Simon Jakob Hansson,Ledamot,forlosaror@gmail.com,0708 – 79 19 88,ok,wp_bergvarme,4,21627,21.6,6,2,1,3,1.28,0.9,3.46,B,0,0,0,0,0,0,
osby,Sahlins Rör,https://www.bad-varme.se/ort/osby/,Osby,0479-146 04,osby@bad-varme.se,Tegvägen 5,5565621272,10,Per Olof Sahlin,Ordförande,osby@bad-varme.se,0479-146 04,ok,,4,26489,26.5,10,2,1,3,1.28,0.9,3.46,B,0,0,0,0,0,0,
gavle,Söderbloms Rör,https://www.bad-varme.se/ort/gavle/,Gävle,026-601010,info@soderblomsror.se,Strömsbrovägen 22,5569022980,16,Johan Patrik Karlsson,Ledamot,info@soderblomsror.se,026-601010,ok,,2,31026,31.0,16,2,2,4,0.78,1.0,3.12,B,0,0,0,0,0,0,
hudiksvall,Bryngels,https://www.bad-varme.se/ort/hudiksvall/,Hudiksvall,0650-10790,vvs.hudiksvall@bryngels.se,Granebovägen 3,5567003339,25,Per Mattias Norberg,Extern verkställande direktör,vvs.hudiksvall@bryngels.se,0650-10790,ok,,2,50446,50.4,25,2,2,4,0.78,1.0,3.12,B,0,0,0,0,0,0,
tumba,TermoRör,https://www.bad-varme.se/ort/tumba/,Botkyrka/Tumba,08-51819010,service@termoror.se,Kartvägen 9,5567367148,23,Kent Magnus Johansson,Ledamot,service@termoror.se,08-51819010,low,,3,28711,28.7,23,2,1,3,1.0,1.0,3.0,B,0,0,0,0,0,0,
norrkoping-kolmarden,Bad & Värme i Norrköping/Kolmården,https://www.bad-varme.se/ort/norrkoping-kolmarden/,Norrköping/Kolmården,011-696 63,order@hertzmansvvs.se,Kakelugnsvägen 5,5567135925,22,Martin Karl Bernhard Calderon,Ledamot,order@hertzmansvvs.se,011-696 63,low,,3,24045,24.0,22,2,1,3,1.0,1.0,3.0,B,0,0,0,0,0,0,
solleftea,Rörmokar´n i Sollefteå,https://www.bad-varme.se/ort/solleftea/,Sollefteå,0620-150 15,info@rormokarnsolleftea.se,Bangatan 4,5565158572,13,Christer Niclas Lindberg,Ledamot,info@rormokarnsolleftea.se,0620-150 15,low,,2,36892,36.9,13,2,2,4,0.78,0.9,2.81,C,0,0,0,0,0,0,
habo,Habo Rör,https://www.bad-varme.se/ort/habo/,Habo,036-401 64,linda@haboror.se,Kyrkvägen 17,5564933603,4,Linda Ingegerd Louise Klasson,Verkställande direktör,linda@haboror.se,036-401 64,low,,3,10026,10.0,4,3,1,4,1.0,0.7,2.8,C,1,0,0,0,0,0,ivt
karna,Emil Svensson VVS,https://www.bad-varme.se/ort/karna/,Kärna,0728 63 47 76,emil@vvsinst.se,Hermansby 246,5562558329,4,Emil Alexander Svensson,Ledamot,emil@vvsinst.se,0728 63 47 76,ok,,3,14154,14.2,4,3,1,4,1.0,0.7,2.8,C,1,0,0,0,0,0,ivt
askersund,Askersunds Brunnsborrning,https://www.bad-varme.se/ort/askersund/,Askersund,0583-71 10 77,askbrunn@telia.com,Läggesta 111,5568742570,10,Lars Tobias Elf,Ordförande,askbrunn@telia.com,0583-71 10 77,ok,,3,14784,14.8,10,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
boras-ror-och-sanitet,Borås Rör & Sanitet,https://www.bad-varme.se/ort/boras-ror-och-sanitet/,Borås,033-10 16 90,info@borasror.se,Segloravägen 20,5565912838,6,Tommy Andreas Johansson,Ledamot,info@borasror.se,033-10 16 90,low,,3,10450,10.4,6,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
danderyd,24 Rör,https://www.bad-varme.se/ort/danderyd/,Danderyd,08-24 24 20,info@24ror.se,Djursholmsvägen 62,5569437493,8,Enrique Matheo Mussa Valdes,Verkställande direktör,info@24ror.se,08-24 24 20,ok,,3,15595,15.6,8,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
oland,Degerhamns VVS,https://www.bad-varme.se/ort/oland/,Degerhamn,076-1336980,andreasjohansson@degerhamnsvvs.se,Skiftergatan 8,5592020662,6,Stefan Andreas Patrik Lovrén,Verkställande direktör,andreasjohansson@degerhamnsvvs.se,076-1336980,low,,3,11072,11.1,6,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
ekero,Wikmans VVS,https://www.bad-varme.se/ort/ekero/,Ekerö (Stenhamra),08-560 449 00,vvs@wikmansvvs.se,Vallviksvägen 116,5561696823,9,Jan Krister Wikman,Verkställande direktör,vvs@wikmansvvs.se,08-560 449 00,ok,,3,18178,18.2,9,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
eskilstuna,Lundbäcks VVS,https://www.bad-varme.se/ort/eskilstuna/,Eskilstuna,076-113 21 01,lundbacksvvs@gmail.com,Kardangatan 3-5,5567668669,6,Anders Gustaf Lundquist,Ordförande,lundbacksvvs@gmail.com,076-113 21 01,ok,,3,21719,21.7,6,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
flen,Lundberg & Jonsson Rör,https://www.bad-varme.se/ort/flen/,Flen,0157-10061,info@lundbergjonssonror.se,Åsegatan 8,5562546076,5,Karl Torbjörn Fredriksson,Ordförande,info@lundbergjonssonror.se,0157-10061,ok,,3,10420,10.4,5,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
gallivare,Lennarts VVS-Tjänst,https://www.bad-varme.se/ort/gallivare/,Gällivare,0970-169 05,info@lennartsvvs.se,Stallarvägen 2,5567772172,10,Bror Lennart Johansson,Ordförande,info@lennartsvvs.se,0970-169 05,ok,"wp_bergvarme,wp_luft_vatten",3,16718,16.7,10,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
goteborg-filuni,Filuni,https://www.bad-varme.se/ort/goteborg-filuni/,Göteborg,073 – 653 86 81,info@filuni.se,Galvaniseringsgatan 8,5568570716,12,Mirko Boskovic,Ledamot,info@filuni.se,073 – 653 86 81,ok,,3,13870,13.9,12,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
hagfors,AsCy Rör & Industri,https://www.bad-varme.se/ort/hagfors/,Hagfors,073-816 72 21,info@ascy.se,Hedvägen 7,5568227044,11,Conny Sune Nicklas Gustafsson,Ledamot,info@ascy.se,073-816 72 21,ok,,3,18131,18.1,11,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
jonkoping-beckmanns,Beckmanns VVS & Energiteknik,https://www.bad-varme.se/ort/jonkoping-beckmanns/,Jönköping​,036-860 88 50,info@beckmanns.nu,Skruvgatan 2,5590213517,9,Björn Per Hans Gunnar Beckman,Ledamot,info@beckmanns.nu,036-860 88 50,ok,,3,19520,19.5,9,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
karlshamn,Halix VVS,https://www.bad-varme.se/ort/karlshamn/,Karlshamn,0454 – 321 559,halixvvs@gmail.com,Vekerumsvägen 254,5564156908,7,Lars Ragnar Mikael Böös,Ledamot,halixvvs@gmail.com,0454 – 321 559,ok,,3,16819,16.8,7,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
katrineholm-cv,CV Rör,https://www.bad-varme.se/ort/katrineholm-cv/,Katrineholm,070-77 44 381,ao@cvror.se,Marieborgsgatan 1C,5592434822,9,Johan Vesa,Ledamot,ao@cvror.se,070-77 44 381,ok,,3,23095,23.1,9,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
katrineholm,Kamin & Kakel i Katrineholm,https://www.bad-varme.se/ort/katrineholm/,Katrineholm,0150-517 40,info@kaminkakel.se,Videvägen 2,5564501079,7,Jan Uno Hultberg,Verkställande direktör,info@kaminkakel.se,0150-517 40,ok,,3,14339,14.3,7,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
kungshamn,Jonas Rör,https://www.bad-varme.se/ort/kungshamn/,Kungshamn,0523-376 77,info@jonasror.se,Varvsgatan 21B,5568211717,10,Kjell Jonas Gustafsson,Ledamot,info@jonasror.se,0523-376 77,ok,,3,26902,26.9,10,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
lidingo,Din Lokala Hjälpreda i Lidingö,https://www.bad-varme.se/ort/lidingo/,Lidingö,08-519 933 00,jonny@dinhjalpreda.se,Båtsmansvägen 8,5569811465,13,Jonny Thörn,Ledamot,jonny@dinhjalpreda.se,08-519 933 00,ok,,3,24056,24.1,13,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
lindesberg,Bergslagens VVS,https://www.bad-varme.se/ort/lindesberg/,Lindesberg,0581-531 00,info@bergslagensvvs.se,Löpargatan 4,5568303266,10,Per Ulf Adam Nilsson,Ledamot,info@bergslagensvvs.se,0581-531 00,ok,,3,24883,24.9,10,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
linkoping,Bad & Kakel i Linköping,https://www.bad-varme.se/ort/linkoping/,Linköping,013-310890,info@badokakel.se,Industrigatan 11,5566584115,12,Hans Peter Westling,Verkställande direktör,info@badokakel.se,013-310890,low,,3,17163,17.2,12,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
brastad,"Bad & Värme, Rönnings Rör",https://www.bad-varme.se/ort/brastad/,Lysekil/Brastad,0523-47071,brastad@bad-varme.se,Hallindenvägen 25,5568159635,13,Line Merethe Rönning Åkesson,Ledamot,brastad@bad-varme.se,0523-47071,ok,,3,27845,27.8,13,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
nora,AVD Värme & Vatten,https://www.bad-varme.se/ort/nora/,Nora,0587-140 58,annica@avdnora.se,Prästgatan 28,5561664920,7,Per Ulf Adam Nilsson,Verkställande direktör,annica@avdnora.se,0587-140 58,low,,3,12431,12.4,7,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
sala,Silverstadens Rör,https://www.bad-varme.se/ort/sala/,Sala,"0224-18190, 0224-18191",silverstadensror@gmail.com,Gruvvägen 44,5567637854,9,Ove Markus Enstedt,Verkställande direktör,silverstadensror@gmail.com,"0224-18190, 0224-18191",ok,,3,11251,11.3,9,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
saltsjo-boo,Turex Rör,https://www.bad-varme.se/ort/saltsjo-boo/,Saltsjö-Boo,08-715 56 16,info@turex.se,Telegramvägen 46 c,5561111690,5,Lars Mikael Strand,Verkställande direktör,info@turex.se,08-715 56 16,low,,3,11788,11.8,5,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
sollentuna,NIRA Rörteknik,https://www.bad-varme.se/ort/sollentuna/,Sollentuna,08-442 00 00,order.sthlm@nirarorteknik.se,Vändvägen 8h,5593088403,13,Anders Nils Rapp,Verkställande direktör,order.sthlm@nirarorteknik.se,08-442 00 00,ok,,3,28004,28.0,13,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
stockholm-city,Cyklande Rörmokaren,https://www.bad-varme.se/ort/stockholm-city/,Stockholm,08-500 333 70,hej@cyklanderormokaren.se,Pilgatan 5,5590933445,8,Hugo Stig Åke Wolgers,Ledamot,hej@cyklanderormokaren.se,08-500 333 70,ok,,3,11957,12.0,8,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
strangnas,Buneco,https://www.bad-varme.se/ort/strangnas/,Strängnäs,0152-752424,info@buneco.se,Finningevägen 75,5567494181,8,Kenneth Magnus Nilsson,Ledamot,info@buneco.se,0152-752424,ok,,3,21003,21.0,8,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
soderkoping,PL VVS,https://www.bad-varme.se/ort/soderkoping/,Söderköping,0121-101 00,peter@plvvs.se,Virkesgatan 6,5591513709,8,Peter Nils Erik Larsson,Ledamot,peter@plvvs.se,0121-101 00,low,,3,16624,16.6,8,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
sodertalje,Tälje VVS,https://www.bad-varme.se/ort/sodertalje/,Södertälje,08-550 104 64,info@taljevvs.se,Brunnsängsvägen 32,5562920719,7,Mikael Rolf Lars Gunnar Sigren,Extern verkställande direktör,info@taljevvs.se,08-550 104 64,low,,3,16921,16.9,7,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
tranemo,Tranemo Rör,https://www.bad-varme.se/ort/tranemo/,Tranemo,0325-70049,post@tranemoror.se,Åkerivägen 1,5563293439,6,Staffan Petersson,Ordförande,post@tranemoror.se,0325-70049,low,,3,15852,15.9,6,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
trosa,Total VVS Trosa,https://www.bad-varme.se/ort/trosa/,Trosa,073-943 65 73,info@totalvvstrosa.se,Industrigatan 9A,5593474900,7,Carolin Isabelle Johansson,Ledamot,info@totalvvstrosa.se,073-943 65 73,ok,,3,13444,13.4,7,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
upplands-vasby,Fresta VVS,https://www.bad-varme.se/ort/upplands-vasby/,Upplands Väsby,08-590 303 80,info@frestavvs.se,Dagsländevägen 15,5591966998,10,Carl Johan Martin Odehammar,Ledamot,info@frestavvs.se,08-590 303 80,ok,,3,16775,16.8,10,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
valbo,Nybloms Rör,https://www.bad-varme.se/ort/valbo/,Valbo,026-455 30 30,info@nyblomsror.se,Valbovägen 303,5569018467,6,Johan Daniel Stefansson,Ordförande,info@nyblomsror.se,026-455 30 30,ok,,3,11259,11.3,6,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
vargarda,Vårgårda VVS,https://www.bad-varme.se/ort/vargarda/,Vårgårda,0322-62 00 60,lennart@vargardavvs.se,Korsgatan 40,5565315933,8,Lennart Inge Kjellson,Ordförande,lennart@vargardavvs.se,0322-62 00 60,ok,,3,16880,16.9,8,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
vargarda-djupedal,Djupedals Rör Vårgårda,https://www.bad-varme.se/ort/vargarda-djupedal/,Vårgårda,0322-62 33 70,info@djupedalsror.se,Lindbladsvägen 6 A,5565315933,8,Lennart Inge Kjellson,Ordförande,info@djupedalsror.se,0322-62 33 70,low,,3,16880,16.9,8,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
vanersborg-b-erlandsson,Rörledningsfirma B. Erlandsson,https://www.bad-varme.se/ort/vanersborg-b-erlandsson/,Vänersborg,0521-26 06 60,info@erlandssonror.se,Tenggrenstorpsvägen 13,5564784212,10,Bengt Karl-Johan Kjellner,Ledamot,info@erlandssonror.se,0521-26 06 60,ok,,3,18461,18.5,10,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
vasteras-hedin,Hedins VVS,https://www.bad-varme.se/ort/vasteras-hedin/,Västerås,021-33 28 00,info@hedinsvvs.se,Signalistgatan 14,5591599070,5,Pontus Mikael Hedin,Ledamot,info@hedinsvvs.se,021-33 28 00,low,,3,13495,13.5,5,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
goteborg,FP Badrumsspecialisten,https://www.bad-varme.se/ort/goteborg/,Västra Frölunda,073-522 26 64,info@fpbygg.se,August Barks gata 30A,5569945891,10,Peyman Karimi Ghalvazi,Verkställande direktör,info@fpbygg.se,073-522 26 64,ok,,3,20356,20.4,10,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
vaxjo,Södregårds Rör & Maskin,https://www.bad-varme.se/ort/vaxjo/,Växjö,0470-776 124,info@sodregardsror.se,Södergård 2,5564056819,9,Olof Petter Svensson,Ledamot,info@sodregardsror.se,0470-776 124,ok,,3,19844,19.8,9,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
stenungsund-odsmal,Ödsmåls Rörläggeri,https://www.bad-varme.se/ort/stenungsund-odsmal/,Ödsmål,070-577 34 97,odsmalsror@telia.com,Ödsmål Industriväg 3,5567906648,7,Lars-Olof Mikael Strömberg,Ledamot,odsmalsror@telia.com,070-577 34 97,ok,,3,13253,13.3,7,2,1,3,1.0,0.9,2.7,C,0,0,0,0,0,0,
