Company name,City,Phone number,Website URL,Number of employees,Annual revenue,opti_org_nr,opti_elzon,opti_tier,opti_poang,opti_marken,opti_partner_niva,opti_kalla,opti_pitch_vinkel,opti_anteckning
Mellstroms Ror Ab,Hoganas,042-338000,,,,,SE4,A,6,NIBE,installator,NIBE,,
Mns Ror,Energi Ab  Sodra Sandby,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Ny Rorservice Ab,Ekeby,042-250410,,,,,SE4,A,6,NIBE,installator,NIBE,,
Nybro Vvs Ab,Nybro,0480-38880,,1-4,,559558-6552,SE4,A,6,NIBE,installator,NIBE,,
O Lindqvists Ror Ab,Hassleholm,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Osby Rorservice Ab,Osby,0479-17750,,,,,SE4,A,6,NIBE,installator,NIBE,,
Osterlens Rorinstallationer Ab,Simrishamn,0414-28790,,,,,SE4,A,6,NIBE,installator,NIBE,,
Per Johanssons Vvs,Eslov,0413 33112,,,,,SE4,A,6,NIBE,installator,NIBE,,
Polhems Ror Ab,Horby,070-5480611,,,,,SE4,A,6,NIBE,installator,NIBE,,
R H Vvs Ab,Malmo,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Rokestads Ror,Kyla Ab  Eslov,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Ronnebyortens El,Vvs Ab  Ronneby,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Rorbolaget I Malmo Ab,Malmo,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Sa Rorinstallation Ab,Hoganas,042-338000,,,,,SE4,A,6,NIBE,installator,NIBE,,
Simrishamns Ror Ab,Simrishamn,0414-28790,,,,,SE4,A,6,NIBE,installator,NIBE,,
Soback Rorinstallation Ab,Svalov,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Söderåkra VVS AB,Soderakra,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Stensborg VVS AB,Fagelmara,,,3,8045000,559132-6078,SE4,A,6,NIBE,installator,NIBE,,
Sturkö-Jämjö Rör och Värmeinstallationer AB,Jamjo,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Termoklimat Skåne AB,Svedala,040406600,,,,,SE4,A,6,NIBE,installator,NIBE,,
Thimsfors VVS AB,Bastad,043316201,,51,104663000,556489-1231,SE4,A,6,NIBE,installator,NIBE,,
Thimsfors VVS AB,Almhult,043316201,,51,104663000,556489-1231,SE4,A,6,NIBE,installator,NIBE,,
Tim Svenssons Rör AB,Alvesta,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Trelleborgs Rörservice AB,Trelleborg,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Tuvessons VVS AB,Billinge,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Värmepumpsbolaget i Kristianstad AB,Kristianstad,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Värmia Syd AB,Harslov,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Varmitek Energisystem AB,Helsingborg,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Vvs-Cirkeln i Lund AB,Staffanstorp,,,,,,SE4,A,6,NIBE,installator,NIBE,,
VVS Svepet AB,Loddekopinge,,,,,,SE4,A,6,NIBE,installator,NIBE,,
VVS-Teknik Kristianstad AB,Kristianstad,,,,,,SE4,A,6,NIBE,installator,NIBE,,
VVS-Tjänst i Gualöv AB,Gualov,,,,,,SE4,A,6,NIBE,installator,NIBE,,
VVS-Tjänst i Sölvesborg AB,Solvesborg,,,,,,SE4,A,6,NIBE,installator,NIBE,,
VVSar’n i Blekinge AB,Svangsta,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Wickmans Rör,Vellinge,,,,,,SE4,A,6,NIBE,installator,NIBE,,
WIDERBERGS RÖR,Garsnas,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Energitjänst VK AB,Limhamn (Malmö),040159696,,,,,SE4,A,6,IVT,IVT Center,IVT,SE4 + IVT Center; No1 Service; säljer även Mitsubishi → hög öppenhet för OPTi,
Skånska Energilösningar AB,Södra Sandby,046120024,,,,,SE4,A,6,IVT,IVT Center,IVT,SE4 + IVT Center; Skåne-täckning,
Åseda Värme & Sanitet AB,Åseda,047410152,https://www.comfort.se/butiker/1083,21,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Infjärdens Värme AB Kristianstad,Kristianstad,0446200060,https://www.comfort.se/butiker/1159,24,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Rör-Karlsson Mönsterås,Mönsterås,049943032,https://www.comfort.se/butiker/1111,20,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Erikssons VVS AB,Asarum,045450770,https://www.comfort.se/butiker/1170,23,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Carl-Philips VVS AB,Landskrona,0418446130,https://www.comfort.se/butiker/1186,27,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
CN Gruppen AB,Malmö,040380870,https://www.comfort.se/butiker/1185,27,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Newmans VVS AB,Osby,047913441,https://www.comfort.se/butiker/1127,19,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Comfort - butiken Vinbergs Rör,Falkenberg,0346717155,https://www.comfort.se/butiker/1184,93,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Aderbys Rör AB,Kungsbacka,030033700,https://www.comfort.se/butiker/1194,62,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Rör-Karlsson Oskarshamn,Oskarshamn,049118991,https://www.comfort.se/butiker/1110,6,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Infjärdens Värme AB Hässleholm,Hässleholm,0451381360,https://www.comfort.se/butiker/1160,7,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Comfort i Limhamn,Limhamn,040162424,https://www.comfort.se/butiker/1181,9,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Comfort VVS & EL Öland Löttorp,Löttorp,048536383,https://www.comfort.se/butiker/1198,6,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Comfort VVS & EL Öland Färjestaden,Färjestaden,048536383,https://www.comfort.se/butiker/1199,10,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Newmans VVS AB Helsingborg,Helsingborg,047913441,https://www.comfort.se/butiker/1071,15,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Newmans VVS i Värnamo - Ljungby,Ljungby,0730789950,https://www.comfort.se/butiker/1126,135,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Ternstedt Invent AB - Västervik,Västervik,049069700,https://www.comfort.se/butiker/1094,7,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Comfort i Halmstad,Halmstad,035106288,https://www.comfort.se/butiker/1182,6,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Rör-Karlsson Kalmar,Kalmar,0480989350,https://www.comfort.se/butiker/1048,4,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
NG Nilsson Rör AB,Sjöbo,041619615,https://www.comfort.se/butiker/1125,2,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Comfort Visby,Visby,0498201770,https://www.comfort.se/butiker/1179,1,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Comfort VVS & EL Öland Mörbylånga,Mörbylånga,048536383,https://www.comfort.se/butiker/1128,0,,,SE4,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Falkenbergs Rör AB,Falkenberg,0346714750,https://www.comfort.se/butiker/1167,47,,,SE4,A,,Comfort,Comfort-butik,Comfort,energioptimering,
VOTAB VVS & Värmeinstallation,Varberg,0340646800,https://www.bad-varme.se/ort/varberg-votab/,20,,,SE4,A,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
Enwell AB (Mälardalen),Nacka,020510200,,,,,SE3,A,10,"IVT, NIBE",IVT Center,Enwell,Stor region (3 kontor) — nära Effiras hemmamarknad,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Enwell AB (Stockholm),Stockholm / Täby,020778855,,,,,SE3,A,10,"IVT, NIBE",IVT Center,Enwell,Nationellt HQ-läge — strategisk ingång via VD/VP,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Enwell AB (Östergötland),Söderköping,0104986400,,,,,SE3,A,10,"IVT, NIBE",IVT Center,Enwell,4 kontor inkl Linköping + Norrköping,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Enwell AB (Göteborg),Kungälv / Mölnlycke,0313384140,,,,,SE3,A,10,"IVT, NIBE",IVT Center,Enwell,Goteborgsbältet — hög husvolym och villamarknad,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Enwell AB (Småland),Nässjö,0380373770,,,,,SE3,A,10,"IVT, NIBE",IVT Center,Enwell,3 kontor täcker tät villamarknad i Jönköpings-Kronobergs-bältet,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Enwell AB (Västmanland),Västerås,0224677000,,,,,SE3,A,10,"IVT, NIBE",IVT Center,Enwell,3 kontor inkl Västerås — stark elprisexponering SE3,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Klimio AB,Stockholm,021149400,klimio.com,10,34756000,559350-9176,SE3,A,9,Bosch,Bosch Climate Partner,Bosch,2,
Carlaplans Rör AB,Tvååker,034040233,,12,23824000,556451-4502,SE3,A,9,Bosch,Bosch Climate Partner,Bosch,4,
Enwell AB (Uppland),Uppsala,020103232,,,,,SE3,A,9,"IVT, NIBE",IVT Center,Enwell,Uppsala + Gävle — universitetsstad med hög villaandel,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Enwell AB (Närke),Örebro,0101221200,,,,,SE3,A,9,"IVT, NIBE",IVT Center,Enwell,Örebro + Katrineholm — bra marknad centrala Sverige,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Enwell AB (Värmland),Karlstad,0101221200,,,,,SE3,A,9,"IVT, NIBE",IVT Center,Enwell,Karlstad-regionen — delvis SE2 närhetszon men SE3 prissatt,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Infjärdens Värme AB Tierp,Tierp,0104144060,https://www.comfort.se/butiker/1153,24,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Söderlunds Rör AB Tierp,Tierp,0104550340,https://www.comfort.se/butiker/1098,24,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Knut Svenssons Rör AB,Huskvarna,036130851,https://www.comfort.se/butiker/1142,27,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Sälles Rör AB,Götene,051150800,https://www.comfort.se/butiker/1099,56,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Comfort Kinna AB,Kinna,032018000,https://www.comfort.se/butiker/1188,47,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
K-B Rör AB,Alafors,0303742020,https://www.comfort.se/butiker/1150,30,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Alingsås Rör AB,Alingsås,0322611980,https://www.comfort.se/butiker/1193,21,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Djupedals Rör Alingsås,Alingsås,032210106,https://www.comfort.se/butiker/1173,21,,,SE3,A,,Bad & Värme,Comfort-butik,"Bad & Värme, Comfort","värmepump (vatten), energioptimering",
Hovby Rör AB,Lidköping,051086500,https://www.comfort.se/butiker/1165,28,54808000,556414-8715,SE3,A,,Bosch,Comfort-butik,"Bosch, Comfort","värmepump (vatten), energioptimering",
Stora Mellby Rör AB,Sollebrunn,032241880,https://www.comfort.se/butiker/1105,25,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Kjellners Rör AB Vara,Vara,051210198,https://www.comfort.se/butiker/1143,39,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Mählqvist Rör AB Vingåker,Vingåker,0151518150,https://www.comfort.se/butiker/1130,28,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Mählqvist Rör AB Flen,Flen,015724460,https://www.comfort.se/butiker/1132,50,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Vetlanda Rör,Vetlanda,038315849,https://www.comfort.se/butiker/1082,45,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Infjärdens Värme AB Köping,Köping,0104144090,https://www.comfort.se/butiker/1158,18,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Limmareds Rör AB,Limmared,032571600,https://www.comfort.se/butiker/1137,17,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Mälardalens Energi & VVS AB,Eskilstuna,0165512220,https://www.comfort.se/butiker/1129,10,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Br Perssons Rör AB,Gullspång,055121010,https://www.comfort.se/butiker/1189,11,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Clavis AB,Jönköping,03640200,https://www.comfort.se/butiker/1449,12,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Oppunda VVS-Service AB,Katrineholm,015055530,https://www.comfort.se/butiker/1120,51,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Landsbro Rör,Landsbro,038360818,https://www.comfort.se/butiker/1140,10,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Lindesbergs VVS/EL AB,Lindesberg,058183640,https://www.comfort.se/butiker/1136,15,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Sköldsbergs VVS AB,Stenkullen,030222174,https://www.comfort.se/butiker/1106,10,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Lurs Rör,Tanumshede,052529160,https://www.comfort.se/butiker/1135,10,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Comfort Söderlunds Rör AB Uppsala,Uppsala,0104550340,https://www.comfort.se/butiker/1180,13,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Ternstedt Invent AB - Linköping,Linköping,01368400,https://www.comfort.se/butiker/1096,130,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Ternstedt Invent AB - Norrköping,Norrköping,0106822500,https://www.comfort.se/butiker/1459,130,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Kjellners Rör AB Floby,Floby,051540710,https://www.comfort.se/butiker/1147,386,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Projektrör Väst AB,Göteborg,031143939,https://www.comfort.se/butiker/1117,155,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Kjellners Rör AB Herrljunga,Herrljunga,051321065,https://www.comfort.se/butiker/1146,292,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Ronnys VVS och Energiservice AB,Jönköping,036313240,https://www.comfort.se/butiker/1115,12,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Ternstedt Invent AB - Kisa,Kisa,0494699100,https://www.comfort.se/butiker/1097,6,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Kjellners Rör AB Kvänum,Kvänum,051292675,https://www.comfort.se/butiker/1145,132,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Lundstedts Rör,Motala,014154560,https://www.comfort.se/butiker/1046,11,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Oxelösunds Rör AB,Oxelösund,015530425,https://www.comfort.se/butiker/1119,7,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Rörab Infra AB,Sollentuna,0859034130,https://www.comfort.se/butiker/1113,15,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Infjärdens Värme AB Uppsala,Uppsala,0104144080,https://www.comfort.se/butiker/1152,13,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Närkes Energiteknik AB,Örebro,0196117885,https://www.comfort.se/butiker/1123,8,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Värme & Sanitet A Palmér AB,Vimmerby,049215090,https://www.comfort.se/butiker/1085,10,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Ternstedt Invent AB - Åtvidaberg,Åtvidaberg,012029590,https://www.comfort.se/butiker/1093,4,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Söderlunds Rör AB Öregrund,Öregrund,0104550340,https://www.comfort.se/butiker/1208,3,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Ternstedt Invent AB - Rimforsa,Rimforsa,0494699100,https://www.comfort.se/butiker/1095,1,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Högbergs Rör i Borås AB,Borås,0334303040,https://www.comfort.se/butiker/1163,3,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Mählqvist Rör AB Katrineholm,Katrineholm,0150669550,https://www.comfort.se/butiker/1131,2,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Infjärdens Värme AB Sala,Sala,0104144150,https://www.comfort.se/butiker/1155,2,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Strömstads Värme & Sanitet AB,Strömstad,052613075,https://www.comfort.se/butiker/1103,3,,,SE3,A,,Mitsubishi,Comfort-butik,"Comfort, Mitsubishi","värmepump (vatten), energioptimering",
Simonssons Rör Branäs,Sysslebäck,028031231,https://www.comfort.se/butiker/1445,1,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Tranås Rörservice AB,Tranås,014065055,https://www.comfort.se/butiker/1089,2,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Stora Mellby Rör i Trollhättan AB,Trollhättan,052082384,https://www.comfort.se/butiker/1104,3,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Projektrör Väst AB  Uddevalla,Uddevalla,052229199,https://www.comfort.se/butiker/1205,1,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
BP VVS och EL AB,Vendelsö,087761256,https://www.comfort.se/butiker/1112,1,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Nya Söberg & Söderström Rör AB,Gnesta,015813660,https://www.comfort.se/butiker/1124,0,,,SE3,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
M J  Fjärrvärme & VVS AB,Linköping,013299542,https://www.comfort.se/butiker/1134,40,,,SE3,A,,Comfort,Comfort-butik,Comfort,energioptimering,
Elterm,Alingsås,032212324,https://www.bad-varme.se/ort/alingsas/,11,,,SE3,A,,Bad & Värme,Bad & Värme,Bad & Värme,"aukt. VP-märke, solceller, elbilsladdning",
Hammarstedts VVS,Nybro,0481766000,https://www.bad-varme.se/ort/nybro/,14,,,SE3,A,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
Bad & Värme Filipstad,Filipstad,059013014,https://www.bad-varme.se/ort/filipstad/,34,,,SE3,A,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
Bad & Energicenter AB,Hudiksvall,065076920,https://www.comfort.se/butiker/1191,22,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Infjärdens Värme AB Holmsund,Holmsund,0104144130,https://www.comfort.se/butiker/1161,15,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Curt Petterssons Värme AB,Arnäsvall,066082270,https://www.comfort.se/butiker/1175,14,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Simonssons Rör AB,Lima,028031231,https://www.comfort.se/butiker/1107,15,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
"Olja & Sanitet, AB",Sollefteå,062014715,https://www.comfort.se/butiker/1122,15,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Wiiks Rör AB,Storvik,029031700,https://www.comfort.se/butiker/1087,14,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Tärnaby Rör,Tärnaby,0738182920,https://www.comfort.se/butiker/1472,9,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Lars Anders VVS AB,Vindeln,0902025000,https://www.comfort.se/butiker/1465,10,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Thomas Rör,Ljusdal,065110368,https://www.comfort.se/butiker/1091,129,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
Vattenhuset AB,Borlänge,0243226060,https://www.comfort.se/butiker/1088,15,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
"Erikssons VVS-Shop, AB",Härnösand,061120720,https://www.comfort.se/butiker/1169,14,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Lars Sundström AB,Linghed,024622400,https://www.comfort.se/butiker/1138,11,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Rör-Teknik AB,Östersund,063199190,https://www.comfort.se/butiker/1109,13,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Gustafssons Rör i Sundsvall,Sundsvall,0606066580,https://www.comfort.se/butiker/1052,15,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
Hälsinge Rör AB,Bollnäs,0278636000,https://www.comfort.se/butiker/1164,8,,,SE2,A,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
