org_nr,bolagsnamn,ort,elzon,tier,poang,vd_namn,epost,telefon,webb,anstallda,omsattning_kkr,marken,partner_niva,kalla,pitch_vinkel,anteckning
,Rör-Karlsson Mönsterås,Mönsterås,SE4,A,,Jörgen Jörgen Martin Forslund,info@ror-karlsson.se,049943032,https://www.comfort.se/butiker/1111,20,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Erikssons VVS AB,Asarum,SE4,A,,Jan Jan Emil Andreas Andersson,filip@erikssonsvvs.se,045450770,https://www.comfort.se/butiker/1170,23,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Carl-Philips VVS AB,Landskrona,SE4,A,,Kenth Kenth Stefan Nilsson,carina.nilsson@carlphilipsvvs.se,0418446130,https://www.comfort.se/butiker/1186,27,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,CN Gruppen AB,Malmö,SE4,A,,Bo Bo Johan Andersson,info@cn-gruppen.se,040380870,https://www.comfort.se/butiker/1185,27,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Newmans VVS AB,Osby,SE4,A,,Bengt-Ored Bengt-Ored Oredsson,elisabeth.ahlberg@newmansvvs.se,047913441,https://www.comfort.se/butiker/1127,19,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Comfort - butiken Vinbergs Rör,Falkenberg,SE4,A,,Karl Karl Gustav Hampus Giertz,susanne@vinbergsror.se,0346717155,https://www.comfort.se/butiker/1184,93,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Aderbys Rör AB,Kungsbacka,SE4,A,,Patrik Patrik Andreas Molander,service@aderbys.se,030033700,https://www.comfort.se/butiker/1194,62,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Rör-Karlsson Oskarshamn,Oskarshamn,SE4,A,,Anna Anna Josefina Axelsson,info@ror-karlsson.se,049118991,https://www.comfort.se/butiker/1110,6,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Infjärdens Värme AB Hässleholm,Hässleholm,SE4,A,,Hans Hans Magnus Hagberg,hassleholm@ivab.com,0451381360,https://www.comfort.se/butiker/1160,7,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Comfort i Limhamn,Limhamn,SE4,A,,Jan Jan Bertil Tobias Jakobsson,info@bad-energi.se,040162424,https://www.comfort.se/butiker/1181,9,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Comfort VVS & EL Öland Löttorp,Löttorp,SE4,A,,Simon Simon Arne Gustav Andersson,jenny@comfortoland.se,048536383,https://www.comfort.se/butiker/1198,6,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Comfort VVS & EL Öland Färjestaden,Färjestaden,SE4,A,,Ida Ida Margarita Hellström,peter@comfortoland.se,048536383,https://www.comfort.se/butiker/1199,10,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Newmans VVS AB Helsingborg,Helsingborg,SE4,A,,Per Per Erik Martin Persson,elisabeth.ahlberg@newmansvvs.se,047913441,https://www.comfort.se/butiker/1071,15,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Newmans VVS i Värnamo - Ljungby,Ljungby,SE4,A,,Håkan Håkan Steimer Larsson,elisabeth.ahlberg@newmansvvs.se,0730789950,https://www.comfort.se/butiker/1126,135,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Ternstedt Invent AB - Västervik,Västervik,SE4,A,,Paul Paul Rolf David Robertsson,Henrik.johansson@ternstedtinvent.se,049069700,https://www.comfort.se/butiker/1094,7,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Comfort i Halmstad,Halmstad,SE4,A,,Per Per Mikael Sjölin,info@halmstad.comfort.se,035106288,https://www.comfort.se/butiker/1182,6,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Rör-Karlsson Kalmar,Kalmar,SE4,A,,Adam Adam Persson,info@ror-karlsson.se,0480989350,https://www.comfort.se/butiker/1048,4,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,NG Nilsson Rör AB,Sjöbo,SE4,A,,Hans Hans Stefan Seaton Jacobsson,info@ngnilsson.se,041619615,https://www.comfort.se/butiker/1125,2,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Comfort Visby,Visby,SE4,A,,Birgitta Birgitta Anna Emelie Amér,kontakt@comfortvisby.se,0498201770,https://www.comfort.se/butiker/1179,1,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Comfort VVS & EL Öland Mörbylånga,Mörbylånga,SE4,A,,,emil@comfortoland.se,048536383,https://www.comfort.se/butiker/1128,0,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Falkenbergs Rör AB,Falkenberg,SE4,A,,Johan Johan Martin Dahl,order@falkenbergsror.se,0346714750,https://www.comfort.se/butiker/1167,47,,Comfort,Comfort-butik,Comfort,energioptimering,
,VOTAB VVS & Värmeinstallation,Varberg,SE4,A,,Erik Erik Linus Gustafsson,info@votab.se,0340646800,https://www.bad-varme.se/ort/varberg-votab/,20,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Enwell AB (Mälardalen),Nacka,SE3,A,10,Michael Gozzi,malardalen@enwell.se,020510200,,,,"IVT, NIBE",IVT Center,Enwell,Stor region (3 kontor) — nära Effiras hemmamarknad,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Enwell AB (Stockholm),Stockholm / Täby,SE3,A,10,Michael Gozzi,stockholm@enwell.se,020778855,,,,"IVT, NIBE",IVT Center,Enwell,Nationellt HQ-läge — strategisk ingång via VD/VP,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Enwell AB (Östergötland),Söderköping,SE3,A,10,Michael Gozzi,ostergotland@enwell.se,0104986400,,,,"IVT, NIBE",IVT Center,Enwell,4 kontor inkl Linköping + Norrköping,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Enwell AB (Göteborg),Kungälv / Mölnlycke,SE3,A,10,Michael Gozzi,kungalv@enwell.se,0313384140,,,,"IVT, NIBE",IVT Center,Enwell,Goteborgsbältet — hög husvolym och villamarknad,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Enwell AB (Småland),Nässjö,SE3,A,10,Michael Gozzi,smaland@enwell.se,0380373770,,,,"IVT, NIBE",IVT Center,Enwell,3 kontor täcker tät villamarknad i Jönköpings-Kronobergs-bältet,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Enwell AB (Västmanland),Västerås,SE3,A,10,Michael Gozzi,vastmanland@enwell.se,0224677000,,,,"IVT, NIBE",IVT Center,Enwell,3 kontor inkl Västerås — stark elprisexponering SE3,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
559350-9176,Klimio AB,Stockholm,SE3,A,9,Johan Lind,kontakt@klimio.com,021149400,klimio.com,10,34756,Bosch,Bosch Climate Partner,Bosch,2,
556451-4502,Carlaplans Rör AB,Tvååker,SE3,A,9,ej hittat,carlaplansror.micke@gmail.com,034040233,,12,23824,Bosch,Bosch Climate Partner,Bosch,4,
,Enwell AB (Uppland),Uppsala,SE3,A,9,Michael Gozzi,uppland@enwell.se,020103232,,,,"IVT, NIBE",IVT Center,Enwell,Uppsala + Gävle — universitetsstad med hög villaandel,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Enwell AB (Närke),Örebro,SE3,A,9,Michael Gozzi,narke@enwell.se,0101221200,,,,"IVT, NIBE",IVT Center,Enwell,Örebro + Katrineholm — bra marknad centrala Sverige,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Enwell AB (Värmland),Karlstad,SE3,A,9,Michael Gozzi,varmland@enwell.se,0101221200,,,,"IVT, NIBE",IVT Center,Enwell,Karlstad-regionen — delvis SE2 närhetszon men SE3 prissatt,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
,Infjärdens Värme AB Tierp,Tierp,SE3,A,,Per Per Magnus Dahlström,tierp@ivab.com,0104144060,https://www.comfort.se/butiker/1153,24,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Söderlunds Rör AB Tierp,Tierp,SE3,A,,Per Per Magnus Dahlström,order@sratierp.se,0104550340,https://www.comfort.se/butiker/1098,24,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Knut Svenssons Rör AB,Huskvarna,SE3,A,,Bjarne Bjarne Gunnar Svensson,info@svenssonsror.com,036130851,https://www.comfort.se/butiker/1142,27,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Sälles Rör AB,Götene,SE3,A,,Carl Carl Magnus Liljestam,info@sallesror.se,051150800,https://www.comfort.se/butiker/1099,56,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Comfort Kinna AB,Kinna,SE3,A,,Rolf Rolf Tom Ola Månsson,robin.johnsson@comfortkinna.se,032018000,https://www.comfort.se/butiker/1188,47,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,K-B Rör AB,Alafors,SE3,A,,Daniel Daniel Tobias Karlsson,butik@kbror.se,0303742020,https://www.comfort.se/butiker/1150,30,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Alingsås Rör AB,Alingsås,SE3,A,,Emma Emma Johanna Caroline Nyström,order.alingsas@mellbyror.se,0322611980,https://www.comfort.se/butiker/1193,21,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Djupedals Rör Alingsås,Alingsås,SE3,A,,Emma Emma Johanna Caroline Nyström,info@djupedalsror.se,032210106,https://www.comfort.se/butiker/1173,21,,Bad & Värme,Comfort-butik,"Bad & Värme, Comfort","värmepump (vatten), energioptimering",
556414-8715,Hovby Rör AB,Lidköping,SE3,A,,Elsa Elsa Marianne Kristoffersson,order@hovbygruppen.se,051086500,https://www.comfort.se/butiker/1165,28,54808,Bosch,Comfort-butik,"Bosch, Comfort","värmepump (vatten), energioptimering",
,Stora Mellby Rör AB,Sollebrunn,SE3,A,,Anna Anna Helena Dahllöf Karlsson,order@mellbyror.se,032241880,https://www.comfort.se/butiker/1105,25,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Kjellners Rör AB Vara,Vara,SE3,A,,Karl Karl Emil David Kjellner,weborder@kjellnersror.se,051210198,https://www.comfort.se/butiker/1143,39,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Mählqvist Rör AB Vingåker,Vingåker,SE3,A,,Emil Emil Erik Gustav Appelqvist,weborder@mahlqvist.se,0151518150,https://www.comfort.se/butiker/1130,28,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Mählqvist Rör AB Flen,Flen,SE3,A,,Guy Guy Johan Anders Rickard Brännman,weborder@mahlqvist.se,015724460,https://www.comfort.se/butiker/1132,50,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Vetlanda Rör,Vetlanda,SE3,A,,Magnus Magnus Lennart Gustav Teodorsson,johan@vetlandaror.se,038315849,https://www.comfort.se/butiker/1082,45,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Infjärdens Värme AB Köping,Köping,SE3,A,,Bengt Bengt Fredrik Wahlqvist,koping@ivab.com,0104144090,https://www.comfort.se/butiker/1158,18,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Limmareds Rör AB,Limmared,SE3,A,,Patrik Patrik Gunnar Carlsson,anna-karin@limmaredsror.se,032571600,https://www.comfort.se/butiker/1137,17,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Mälardalens Energi & VVS AB,Eskilstuna,SE3,A,,Carl Carl Johan Hedbäck,Carl.hedback@malardalensvvs.se,0165512220,https://www.comfort.se/butiker/1129,10,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Br Perssons Rör AB,Gullspång,SE3,A,,Erik Erik Peter Hoffman,info@brperssons.se,055121010,https://www.comfort.se/butiker/1189,11,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Clavis AB,Jönköping,SE3,A,,Ulf Ulf Klas Mikael Vallin,hej@clavisvvs.se,03640200,https://www.comfort.se/butiker/1449,12,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Oppunda VVS-Service AB,Katrineholm,SE3,A,,Viktoria Viktoria Linnéa Margaretha Hansson,info@oppundavvs.se,015055530,https://www.comfort.se/butiker/1120,51,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Landsbro Rör,Landsbro,SE3,A,,Carl Carl Andreas Lundgren,susanna@rorservice.com,038360818,https://www.comfort.se/butiker/1140,10,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Lindesbergs VVS/EL AB,Lindesberg,SE3,A,,Arna Arna Thöll Arnardottir Lindberg,lina@lindesbergsvvs.se,058183640,https://www.comfort.se/butiker/1136,15,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Sköldsbergs VVS AB,Stenkullen,SE3,A,,Simon Simon David Knoks,ehandel@skoldsbergs.se,030222174,https://www.comfort.se/butiker/1106,10,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Lurs Rör,Tanumshede,SE3,A,,Björn Björn Patrik Berntsson,robert.collin@comfort-stromstad.com,052529160,https://www.comfort.se/butiker/1135,10,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Comfort Söderlunds Rör AB Uppsala,Uppsala,SE3,A,,Carl Carl Magnus Christian Bonthron,order@sratierp.se,0104550340,https://www.comfort.se/butiker/1180,13,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Ternstedt Invent AB - Linköping,Linköping,SE3,A,,Klas Klas Henrik Gyllenhammar,service@ternstedtinvent.se,01368400,https://www.comfort.se/butiker/1096,130,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Ternstedt Invent AB - Norrköping,Norrköping,SE3,A,,Klas Klas Henrik Gyllenhammar,ewa@ternstedtinvent.se,0106822500,https://www.comfort.se/butiker/1459,130,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Kjellners Rör AB Floby,Floby,SE3,A,,Roy Roy Magnus Prim,weborder@kjellnersror.se,051540710,https://www.comfort.se/butiker/1147,386,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Projektrör Väst AB,Göteborg,SE3,A,,Lars Lars Erik Edström,info@projektror.se,031143939,https://www.comfort.se/butiker/1117,155,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Kjellners Rör AB Herrljunga,Herrljunga,SE3,A,,Joakim Joakim Sven-Inge Backlund,weborder@kjellnersror.se,051321065,https://www.comfort.se/butiker/1146,292,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Ronnys VVS och Energiservice AB,Jönköping,SE3,A,,Karl Karl Ronny Alexander Löfgren,info@ronnysvvs.se,036313240,https://www.comfort.se/butiker/1115,12,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Ternstedt Invent AB - Kisa,Kisa,SE3,A,,Kent Kent Erik Berg,service-kinda@ternstedtinvent.se,0494699100,https://www.comfort.se/butiker/1097,6,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), solceller, energioptimering",
,Kjellners Rör AB Kvänum,Kvänum,SE3,A,,Johan Johan Niklas Efraimsson,weborder@kjellnersror.se,051292675,https://www.comfort.se/butiker/1145,132,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Lundstedts Rör,Motala,SE3,A,,Krister Krister Arne Fogelin,info@lundstedtsror.se,014154560,https://www.comfort.se/butiker/1046,11,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Oxelösunds Rör AB,Oxelösund,SE3,A,,Kurt Kurt Mikael Nilsson,info@ox-ror.se,015530425,https://www.comfort.se/butiker/1119,7,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Rörab Infra AB,Sollentuna,SE3,A,,Ulf Ulf Eric Örnberg,eric@rorab.se,0859034130,https://www.comfort.se/butiker/1113,15,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Infjärdens Värme AB Uppsala,Uppsala,SE3,A,,Carl Carl Magnus Christian Bonthron,uppsala@ivab.com,0104144080,https://www.comfort.se/butiker/1152,13,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Närkes Energiteknik AB,Örebro,SE3,A,,Carl Carl Marcus Bergfalk,info@narkesenergiteknik.se,0196117885,https://www.comfort.se/butiker/1123,8,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Värme & Sanitet A Palmér AB,Vimmerby,SE3,A,,Peder Peder Mattias Eek,mattias@comfortvby.se,049215090,https://www.comfort.se/butiker/1085,10,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
