bolagsnamn,ort,lan,adress,telefon,epost,webbplats,elzon,org_nr,vd_firmatecknare,anstallda,omsattning_ksek,bosch_partner,tier_elzon,tier_anstallda,tier_omsattning,tier_bosch,total_poang,tier
Comfortbutiken Halmstad,Halmstad,Halland,Knut Peters v. 40 302 41 Halmstad,070-584 67 11,info@halmstad.comfort.se,,SE3,ej hittat,ej hittat,ej hittat,ej hittat,Ja,3,0,0,2,5,C
Norra Näs VVS AB,Varberg,Halland,Blästergatan 3 432 32 Varberg,0340-62 19 90,info@norranasvvs.se,norranasvvs.se,SE3,556737-3435,ej hittat,ej hittat,ej hittat,Ja,3,0,0,2,5,C
AB Hylte Rörbolag,Hyltebruk,Halland,Landerydsvägen 18 314 32 Hyltebruk,0345-173 25,lars-ake@hylteror.se,,SE3,556414-5463,ej hittat,ej hittat,ej hittat,Ja,3,0,0,2,5,C
Carlaplans Rör AB,Tvååker,Halland,Plåtvägen 5 432 78 Tvååker,0340-402 33,carlaplansror.micke@gmail.com,,SE3,556451-4502,ej hittat,12,23824,Ja,3,2,2,2,9,A
Söderköpings Energi & VVS AB,Söderköping,Östergötland,Margaretagatan 37 614 31 Söderköping,0121-131 30,torbjorn@sevvs.se,sevvs.se,SE3,556769-3576,Torbjörn Andersson,5,12883,Ja,3,2,1,2,8,B
SP Värmepumpservice i Karlstad AB,Karlstad,Värmland,Tallrotsvägen 20 653 51 Karlstad,0705101169,bullgroda@gmail.com,spvarmepumpservice.se,SE3,559263-5568,Stefan Pålsson,0,1302,Ja,3,0,0,2,5,C
Silverstadens Rör AB,Sala,Västmanland,Gruvvägen 44 733 35 Sala,022418190,silverstadensror@gmail.com,,SE3,556763-7854,ej hittat,9,11251,Ja,3,2,1,2,8,B
Värmis AB,Västerås,Västmanland,Isolatorvägen 1 721 37 Västerås,0707252568,info@varmisab.se,varmisab.se,SE3,559245-3186,ej hittat,7,18466,Ja,3,2,1,2,8,B
Eskilstuna Brunnsborrning AB,Ärla,Södermanland,Eklången Svaneholm 635 37 Ärla,070-769 72 95,kundtjanst@borra.se,,SE3,556662-0331,Kurt Anders Swahn,1,3092,Ja,3,2,0,2,7,B
BorrEnergi Sweden AB,Ludvika,Dalarna,Hyttsvedsvägen 1 771 94 Ludvika,0240-80900,info@borrenergi.se,borrenergi.se,SE2,556998-4395,ej hittat,7,7900,Ja,2,2,1,2,7,B
Blombergs VVS AB,Östersund,Jämtland,Hemvägen 28 831 64 Östersund,ej hittat,blomberg70@hotmail.com,blombergsvvs.nu,SE2,556881-6747,ej hittat,1,2098,Ja,2,2,0,2,6,B
Malms Rör i Sundsvall AB,Sundsvall,Västernorrland,Linköpingsvägen 6A 857 31 Sundsvall,0702788588,stefan@malmsror.se,,SE2,556908-1341,Stefan Malm,4,9688,Ja,2,2,1,2,7,B
Hortlax Rör AB,Piteå,Norrbotten,Görjängsvägen 20 944 32 Hortlax,ej hittat,ej hittat,,SE1,556891-0961,Johan Eriksson,6,10463,Ja,1,2,1,2,6,B
