company_name,city,postal_code,elzon,partner_type,cert_level,score,tier,phone,email,website,source_url
O Lindqvists Ror Ab,Hassleholm,281 33,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/o-lindqvists-ror-ab--hassleholm-28133-installator
Osby Rorservice Ab,Osby,283 22,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/osby-rorservice-ab--osby-28322-installator
Osterlens Rorinstallationer Ab,Simrishamn,272 33,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/osterlens-rorinstallationer-ab--simrishamn-27233-installator
Per Johanssons Vvs,Eslov,241 31,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/per-johanssons-vvs--eslov-24131-installator
Polhems Ror Ab,Horby,242 37,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/polhems-ror-ab--horby-24237-installator
R H Vvs Ab,Malmo,211 37,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/r-h-vvs-ab--malmo-21137-installator
Rokestads Ror,Kyla Ab  Eslov,241 31,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/rokestads-ror--kyla-ab--eslov-24131-installator
Ronnebyortens El,Vvs Ab  Ronneby,372 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/ronnebyortens-el--vvs-ab--ronneby-37232-installator
Rorbolaget I Malmo Ab,Malmo,211 37,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/rorbolaget-i-malmo-ab--malmo-21137-installator
Sa Rorinstallation Ab,Hoganas,263 91,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/sa-rorinstallation-ab--hoganas-26391-installator
Simrishamns Ror Ab,Simrishamn,272 33,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/simrishamns-ror-ab--simrishamn-27233-installator
Soback Rorinstallation Ab,Svalov,268 74,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/soback-rorinstallation-ab--svalov-26874-installator
Soderakra Vvs Ab,Soderakra,385 97,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/soderakra-vvs-ab--soderakra-38597-installator
Stensborg Vvs Ab,Fagelmara,373 78,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/stensborg-vvs-ab--fagelmara-37378-installator
Sturko Jamjo Ror Och Varmeinstallationer Ab,Jamjo,373 72,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/sturko-jamjo-ror-och-varmeinstallationer-ab--jamjo-37372-installator
Termoklimat Skane Ab,Svedala,233 51,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/termoklimat-skane-ab--svedala-23351-installator
Thimsfors Vvs Ab,Bastad,269 42,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/thimsfors-vvs-ab--bastad-26942-installator
Thimsfors Vvs Ab,Almhult,343 34,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/thimsfors-vvs-ab--almhult-34334-installator
Tim Svenssons Ror Ab,Alvesta,342 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/tim-svenssons-ror-ab--alvesta-34232-installator
Trelleborgs Rorservice Ab,Trelleborg,231 63,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/trelleborgs-rorservice-ab--trelleborg-23163-installator
Tuvessons Vvs Ab,Billinge,241 95,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/tuvessons-vvs-ab--billinge-24195-installator
Varmepumpsbolaget I Kristianstad Ab,Kristianstad,291 94,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/varmepumpsbolaget-i-kristianstad-ab--kristianstad-29194-installator
Varmia Syd Ab,Harslov,261 92,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/varmia-syd-ab--harslov-26192-installator
Varmitek Energisystem Ab,Helsingborg,254 67,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/varmitek-energisystem-ab--helsingborg-25467-installator
Vvs Cirkeln I Lund Ab,Staffanstorp,245 93,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/vvs-cirkeln-i-lund-ab--staffanstorp-24593-installator
Vvs Svepet Ab,Loddekopinge,246 31,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/vvs-svepet-ab--loddekopinge-24631-installator
Vvs Teknik Kristianstad Ab,Kristianstad,291 94,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/vvs-teknik-kristianstad-ab--kristianstad-29194-installator
Vvs Tjanst I Gualov Ab,Gualov,295 72,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/vvs-tjanst-i-gualov-ab--gualov-29572-installator
Vvs Tjanst I Solvesborg Ab,Solvesborg,294 71,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/vvs-tjanst-i-solvesborg-ab--solvesborg-29471-installator
Vvsarn I Blekinge Ab,Svangsta,376 92,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/vvsarn-i-blekinge-ab--svangsta-37692-installator
Wickmans Ror,Vellinge,235 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/wickmans-ror--vellinge-23532-installator
Widerbergs Ror,Garsnas,272 61,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/widerbergs-ror--garsnas-27261-installator
A J Thermopump Ab,Bankeryd,564 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/a-j-thermopump-ab--bankeryd-56491-installator
Aa Kyl,Energiteknik Ab  Savsjo,576 33,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/aa-kyl--energiteknik-ab--savsjo-57633-installator
Ab Boras Rorinstallationer,Boras,504 46,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/ab-boras-rorinstallationer--boras-50446-installator
Abk Vvs Installation,Kungsbacka,434 37,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/abk-vvs-installation--kungsbacka-43437-installator
Adtec Vvs I Kalmar Ab,Kalmar,393 51,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/adtec-vvs-i-kalmar-ab--kalmar-39351-installator
Ag Rorteknik Ab,Gislaved,332 36,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/ag-rorteknik-ab--gislaved-33236-installator
Agesta Vvs,Huddinge,141 37,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/agesta-vvs-service--huddinge-14137-installator
Agge,Oskars Ror Ab  Aneby,578 92,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/agge--oskars-ror-ab--aneby-57892-installator
Akessons Rorteknik Ab,Vislanda,342 50,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/akessons-rorteknik-ab--vislanda-34250-installator
Almgren Karlsam Vvs Ab,Trollhattan,461 38,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/almgren-karlsam-vvs-ab--trollhattan-46138-installator
Alstermo Vvs Ab,Alstermo,364 43,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/alstermo-vvs-ab--alstermo-36443-installator
Alvsborgs Vvs Hindas Lerum Ab,Hindas,438 53,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/alvsborgs-vvs-hindas-lerum-ab--hindas-43853-installator
Anders Johanssons Vvs,Energiteknik Ab  Ankarsrum,593 70,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/anders-johanssons-vvs--energiteknik-ab--ankarsrum-59370-installator
Anderssons Vvs Ab,Anderstorp,334 31,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/anderssons-vvs-ab--anderstorp-33431-installator
Angby Ror Ab,Saltsjo Boo,132 38,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/angby-ror-ab--saltsjo-boo-13238-installator
Anton O Simons Vvs Ab,Falkenberg,311 32,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/anton-o-simons-vvs-ab--falkenberg-31132-installator
Arboga Rorservice Ab,Arboga,732 31,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/arboga-rorservice-ab--arboga-73231-installator
Arons Vvs Ab,Veddige,432 66,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/arons-vvs-ab--veddige-43266-installator
Ascy Ror,Industri Ab  Hagfors,683 33,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/ascy-ror--industri-ab--hagfors-68333-installator
Askersunds Brunnsborrning Ab,Askersund,696 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/askersunds-brunnsborrning-ab--askersund-69691-installator
Axelssons Rorservice,Ydre,570 60,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/axelssons-rorservice--ydre-57060-installator
B. Berghs Olje,Pannservice Hb  Vendelso,136 68,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/b.-berghs-olje--pannservice-hb--vendelso-13668-installator
Bad,Varme Stromstad  Stromstad,452 33,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/bad--varme-stromstad--stromstad-45233-installator
Benor Solar Ab,Vastra Frolunda,421 66,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/benor-solar-ab--vastra-frolunda-42166-installator
Beo Vvs En Del Av Sandbackens Ror,Varberg,432 32,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/beo-vvs-en-del-av-sandbackens-ror--varberg-43232-installator
Bergstrands Vvs Ab,Kungsor,736 32,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/bergstrands-vvs-ab--kungsor-73632-installator
Bergvarme,Ventilation I Stockholm Ab  Jarfalla,175 62,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/bergvarme--ventilation-i-stockholm-ab--jarfalla-17562-installator
Bj Varmemontage Ab,Kvicksund,635 31,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/bj-varmemontage-ab--kvicksund-63531-installator
Blekinge Varmeservice Ab,Asarum,374 92,SE4,service,Service,5,B,,,,https://www.nibe.eu/sv-se/partner/blekinge-varmeservice-ab--asarum-37492-service
Bohuslans Bergvarmepumpar Ab,Kungshamn,456 32,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/bohuslans-bergvarmepumpar-ab--kungshamn-45632-installator
Boken Vvs Ab,Stromsholm,725 81,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/boken-vvs-ab--stromsholm-72581-installator
Boras Varme Ab,Boras,503 70,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/boras-varme-ab--boras-50370-installator
Boras Vvs Ab,Boras,504 60,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/boras-vvs-ab--boras-50460-installator
Branninge Rorservice Ab,Norrtalje,761 40,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/branninge-rorservice-ab--norrtalje-76140-installator
Bredvikens Ror Ab,Varby,142 51,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/bredvikens-ror-ab--varby-14251-installator
Brinnen Ror Ab,Lindas,434 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/brinnen-ror-ab--lindas-43491-installator
Brotorps Vvs,Kil,665 30,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/brotorps-vvs--kil-66530-installator
Carlssons Vvs,Brottby,184 94,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/carlssons-vvs--brottby-18494-installator
Christer Lindbloms Ror Ab,Skanninge,595 70,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/christer-lindbloms-ror-ab--skanninge-59570-installator
D J Rorsystem,Kungshamn,456 36,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/d-j-rorsystem--kungshamn-45636-installator
Dalaro Rorservice Ab,Dalarso,139 56,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/dalaro-rorservice-ab--dalarso-13956-installator
Dale Ror Ab,Dals Ed,666 30,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/dale-ror-ab--dals-ed-66630-installator
Dk Ror Ab,Falkenberg,311 95,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/dk-ror-ab--falkenberg-31195-installator
Dk Ror Ab,Halmstad,302 79,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/dk-ror-ab--halmstad-30279-installator
Dr Ror Ab,Gunnebo,578 92,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/dr-ror-ab--gunnebo-57892-installator
E. M. Vvs Ab,Nacka,131 72,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/e.-m.-vvs-ab--nacka-13172-installator
Ea Energi Ab,Upplands Vasby,194 67,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/ea-energi-ab--upplands-vasby-19467-installator
Ea Vvs Installationer Ab,Enkoping,749 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/ea-vvs-installationer-ab--enkoping-74991-installator
Ekbloms Rorinstallation Ab,Nassjo,571 73,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/ekbloms-rorinstallation-ab--nassjo-57173-installator
Eklunds Vvs Ab,Oskarshamn,572 37,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/eklunds-vvs-ab--oskarshamn-57237-installator
El,Vvs Vast Ab  Kungsbacka,434 41,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/el--vvs-vast-ab--kungsbacka-43441-installator
Elcon Energi Ab,Katrineholm,641 40,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/elcon-energi-ab--katrineholm-64140-installator
Elektrus Ab,Goteborg,414 67,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/elektrus-ab--goteborg-41467-installator
Emab Energi Ab,Mariestad,542 63,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/emab-energi-ab--mariestad-54263-installator
Emab Energi Ab,Lidkoping,531 63,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/emab-energi-ab--lidkoping-53163-installator
Energi Akuten I Stockholm Ab,Stockholm,115 34,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/energi-akuten-i-stockholm-ab--stockholm-11534-installator
Energieffektiv Ab,Vasteras,722 31,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/energieffektiv-ab--vasteras-72231-installator
Energikompaniet Ab,Gothenburg,418 71,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/energikompaniet-ab--gothenburg-41871-installator
Energipartner I Norden Ab,Solna,169 34,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/energipartner-i-norden-ab--solna-16934-installator
Enova Ab,Boras,504 45,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/enova-ab--boras-50445-installator
Enova Ab,Gothenburg,418 71,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/enova-ab--gothenburg-41871-installator
F J Teknik Ab,Vetlanda,574 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/f-j-teknik-ab--vetlanda-57491-installator
Falkenberg Ror Ab,Falkenberg,311 32,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/falkenberg-ror-ab--falkenberg-31132-installator
Falks Ror Vvs Ab,Eskilstuna,633 60,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/falks-ror-vvs-ab--eskilstuna-63360-installator
Falkvarme Ab,Falkenberg,311 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/falkvarme-ab--falkenberg-31191-installator
Farstas Rorinstallatorer Ab,Stockholm,123 62,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/farstas-rorinstallatorer-ab--stockholm-12362-installator
Filipstads Ror Ab,Filipstad,682 30,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/filipstads-ror-ab--filipstad-68230-installator
Fjaras Rorinstallationer Ab,Fjaras,439 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/fjaras-rorinstallationer-ab--fjaras-43991-installator
Fjordans Ror Ab,Lysekil,453 81,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/fjordans-ror-ab--lysekil-45381-installator
Fjordans Ror Ab,Munkedal,455 30,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/fjordans-ror-ab--munkedal-45530-installator
Flen Rorservice Ab,Flen,642 33,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/flen-rorservice-ab--flen-64233-installator
Forsvaret Ab,Osthammar,742 81,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/forsvaret-ab--osthammar-74281-installator
Framtidens Uppvarmning Ab,Stockholm,168 79,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/framtidens-uppvarmning-ab--stockholm-16879-installator
Frisens Ror Ab,Linkoping,582 75,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/frisens-ror-ab--linkoping-58275-installator
Frostrings Ror Ab,Gimo,740 20,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/frostrings-ror-ab--gimo-74020-installator
Gardsby Ror Ab,Lenhovda,361 94,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/gardsby-ror-ab--lenhovda-36194-installator
Gislavedsbygdens Ror Ab,Gislaved,332 21,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/gislavedsbygdens-ror-ab--gislaved-33221-installator
Gisslarbo Ror Ab,Gisslarbo,735 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/gisslarbo-ror-ab--gisslarbo-73591-installator
Godings Vvs,Kungsholmen,112 28,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/godings-vvs--kungsholmen-11228-installator
Gotlands Ror Ab,Visby,621 57,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/gotlands-ror-ab--visby-62157-installator
Grabo Ror,El Ab  Grebbestad,457 73,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/grabo-ror--el-ab--grebbestad-45773-installator
Grabo Ror,El Ab  Tanumshede,457 30,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/grabo-ror--el-ab--tanumshede-45730-installator
Gronkulla Ror Ab,Nassjo,571 31,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/gronkulla-ror-ab--nassjo-57131-installator
Gustafs Vvs,Ab  Torslanda,423 65,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/gustafs-vvs--ab--torslanda-42365-installator
Hallands Bergvarme Ab,Kungsbacka,434 91,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hallands-bergvarme-ab--kungsbacka-43491-installator
Hallands El,Vvs Ab  Laholm,312 33,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hallands-el--vvs-ab--laholm-31233-installator
Hallbo Vvs Ab,Hallsberg,694 32,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hallbo-vvs-ab--hallsberg-69432-installator
Hallstahammars Ror Ab,Hallstahammar,734 30,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hallstahammars-ror-ab--hallstahammar-73430-installator
Hammerbys Ror Ab,Stockholm,120 60,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hammerbys-ror-ab--stockholm-12060-installator
Hardemo Ror Ab,Hardemo,694 93,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hardemo-ror-ab--hardemo-69493-installator
Heimdall Byggtjanst Ab,Akersberga,184 30,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/heimdall-byggtjanst-ab--akersberga-18430-installator
Hemvarmekonsulten Ab,Akersberga,184 32,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hemvarmekonsulten-ab--akersberga-18432-installator
Hogdalens Ror Ab,Stockholm,124 54,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hogdalens-ror-ab--stockholm-12454-installator
Humlevikens Ror,Ab  Kungsbacka,434 94,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/humlevikens-ror--ab--kungsbacka-43494-installator
Husells El,Vvs Ab  Heby,744 76,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/husells-el--vvs-ab--heby-74476-installator
Hylte Rorservice Ab,Torup,314 60,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/hylte-rorservice-ab--torup-31460-installator
J L Vvs Ab,Sundbyberg,172 73,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/j-l-vvs-ab--sundbyberg-17273-installator
J Thompsons Vvs Ab,Tingsryd,362 42,SE4,service,Service,5,B,,,,https://www.nibe.eu/sv-se/partner/j-thompsons-vvs-ab--tingsryd-36242-service
Jan Karlssons Ror Ab,Munkedal,455 26,SE3,installator,Installatör,5,B,,,,https://www.nibe.eu/sv-se/partner/jan-karlssons-ror-ab--munkedal-45526-installator
